"Summer 2007
Head Count       Total
Gender               Female Male
Ethnicity            White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Student              Lower
Level                 Upper Masters PhD Professional
Tuition               Resident Tuition
Status                 Non-Resident Tuition Tuition Exemption/Waiver
Residency          Texas Resident
Status                 Non-TX, US Resident
Non-TX, Non-US Resident
SCH                   < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                  Less Than Half Time
TAMU               Half-Time
Full-Time",Undergraduate,,,,,Graduate,,,,Professional,
,"1st Time in College
362
181
181
228
36
85
7
5
1
4
357
1
11
4
9
44
6
5
2
281
361
1
346
10
6
346
16
22
73
261
6
1
15
346","1st Time PB
10
6
4
10
8
1
1
6
1
1
1
1
10
10
10
4
5
1
2
4
4","1st Time Transfer
164
62
102
140
2
12
1
1
7
1
102
46
9
4
3
53
5
19
25
22
3
29
4
4
78
86
151
11
2
152
5
7
75
61
18
10
6
89
1
68","Readmitted
94
31
63
71
5
13
4
1
15
52
20
7
26
6
5
11
12
24
4
5
1
13
81
92
1
1
93
1
37
28
13
15
1
6
34
54","Continuing
11,294
5,559
5,735
8,797
405
1,235
448
53
218
138
2
5,760
5,097
292
96
47
2,082
487
1,371
1,672
1,954
150
2,153
555
464
400
6
1,485
9,809
10,586
328
380
10,650
423
221
3,958
4,357
1,666
1,198
98
17
949
3,812
42
6,491",1st Time PB,1st Time Graduate,Readmitted,Continuing,Continuing,
,,,,,,74,358,8,"4,810",149,
,,,,,,34,191,3,"1,955",106,
,,,,,,40,167,5,"2,855",43,
,,,,,,47,283,7,"2,105",134,
,,,,,,5,7,,177,,
,,,,,,9,28,,335,6,
,,,,,,2,7,,128,7,
,,,,,,2,4,,19,,
,,,,,,8,28,1,"1,997",,
,,,,,,1,1,,49,2,
,,,,,,,9,,9,,
,,,,,,24,251,,"1,442",57,
,,,,,,20,49,,"1,736",72,
,,,,,,16,32,3,"1,182",18,
,,,,,,14,17,5,441,2,
,,,,,,7,22,1,662,,
,,,,,,,9,1,216,,
,,,,,,,177,,303,,
,,,,,,10,101,3,766,,
,,,,,,5,35,,"1,379",,
,,,,,,26,,,56,,
,,,,,,1,3,,185,,
,,,,,,1,1,1,351,,
,,,,,,7,4,,549,,
,,,,,,2,3,2,103,149,
,,,,,,15,3,,240,,
,,,,,,74,307,4,"2,327",,
,,,,,,,51,4,"2,483",,
,,,,,,,,,,149,
,,,,,,57,307,7,"1,995",136,
,,,,,,5,9,1,526,1,
,,,,,,12,42,,"2,289",12,
,,,,,,62,310,7,"2,073",139,
,,,,,,4,20,,731,10,
,,,,,,8,28,1,"2,006",,
,,,,,,60,72,6,"1,683",13,
,,,,,,12,107,1,"2,841",86,
,,,,,,2,98,1,216,50,
,,,,,,,81,,62,,
,,,,,,,,,8,,
,,,,,,3,1,4,714,1,
,,,,,,45,32,,421,2,
,,,,,,,,,5,,
,,,,,,26,325,4,"3,670",146,
"Prepared by OISP, 09 Aug 07",,,,,,,,,,,
