"Fall 2008
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,60,,73,133,,1,,1,,7,,5,12,,6,,2,8,,3,3,,,,2,,,2,,76,,83,,159,
,,57,,66,123,,1,,1,,7,,5,12,,5,,2,7,,3,3,,,,2,,,2,,72,,76,,148,
,,3,,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,8,
,,,,1,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,1,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,10,,14,24,,1,,1,,,,1,1,,,,,,,2,2,,,,,,,,,11,,17,,28,
,,47,,58,105,,,,,,7,,4,11,,6,,2,8,,1,1,,,,2,,,2,,62,,65,,127,
,,3,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,4,
,,58,,71,129,,1,,1,,7,,5,12,,5,,2,7,,3,3,,,,2,,,2,,73,,81,,154,
,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,1,,1,2,,,,,,,,,,,1,,,1,,,,,,,,,,,,2,,1,,3,
,,58,,72,130,,1,,1,,7,,5,12,,6,,2,8,,3,3,,,,2,,,2,,74,,82,,156,
,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,
,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,31,,34,65,,,,,,5,,3,8,,4,,,4,,2,2,,,,1,,,1,,41,,39,,80,
,,26,,39,65,,1,,1,,2,,2,4,,2,,2,4,,1,1,,,,1,,,1,,32,,44,,76,
,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,57,,73,130,,1,,1,,7,,5,12,,6,,2,8,,3,3,,,,2,,,2,,73,,83,,156,
,,47,,66,113,,1,,1,,6,,5,11,,6,,2,8,,3,3,,,,2,,,2,,62,,76,,138,
,,13,,7,20,,,,,,1,,,1,,,,,,,,,,,,,,,,,14,,7,,21,
,,45,,55,100,,,,,,5,,3,8,,3,,1,4,,1,1,,,,1,,,1,,54,,60,,114,
,,3,,3,6,,,,,,,,,,,1,,,1,,,,,,,,,,,,4,,3,,7,
,,12,,15,27,,1,,1,,2,,2,4,,2,,1,3,,2,2,,,,1,,,1,,18,,20,,38,
,,59,,71,130,,1,,1,,7,,5,12,,5,,2,7,,3,3,,,,2,,,2,,74,,81,,155,
,,1,,2,3,,,,,,,,,,,1,,,1,,,,,,,,,,,,2,,2,,4,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
