Office of Institutional Studies and Planning,,,,,,,,
Qatar Campus,,,,,,,,
(Not included in University Total Enrollment) Fall 2008,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,
Fall 2008,,Student Level,,,,,Grand Total,
,,U0,U1,U2,U3,U4,,
Head Count Total,,35,108,78,54,86,361,
Gender,Female,18,44,24,20,29,135,
,Male,17,64,54,34,57,226,
SCH Categories,< 6 SCH,14,,,,1,15,
,6-8 SCH,1,,,,4,5,
9-11 SCH,,1,,2,1,5,9,
,12-14 SCH,18,48,17,16,28,127,
15-17 SCH,,1,55,51,21,28,156,
,>17 SCH,,5,8,16,20,49,
"Prepared by OISP, 11 Nov 08",,,,,,,,
