Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,50,2.0%,43,-81.0%,0,-100.0%,,,93,-78.1%,
Gender,Female,15,-46.4%,22,-81.7%,0,-100.0%,,,37,-83.7%,
,Male,35,66.7%,21,-80.2%,0,-100.0%,,,56,-71.7%,
Ethnicity,White,1,-50.0%,14,-86.8%,0,-100.0%,,,15,-90.1%,
,Black,,,2,-60.0%,0,-100.0%,,,2,-77.8%,
,Hispanic,0,-100.0%,3,-50.0%,0,-100.0%,,,3,-75.0%,
,Asian,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
,American Indian,,,,,,,,,,,
,International,47,2.2%,21,-78.8%,0,-100.0%,,,68,-71.2%,
,Unknown/Other,2,100.0%,3,-25.0%,0,-100.0%,,,5,-16.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,27,42.1%,0,-100.0%,,,,,27,28.6%,
,22-25,21,-30.0%,19,-84.9%,0,-100.0%,,,40,-76.5%,
,26-30,1,100.0%,9,-85.9%,0,-100.0%,,,10,-92.8%,
,31-39,1,100.0%,11,-62.1%,0,-100.0%,,,12,-84.2%,
,40+,,,4,-20.0%,0,-100.0%,,,4,-78.9%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,29,-29.3%,,,,,29,-29.3%,
,1st Time Graduate,,,0,-100.0%,0,-100.0%,,,0,-100.0%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,0,-100.0%,,,,,0,-100.0%,
,Continuing,50,2.0%,14,-86.3%,0,-100.0%,,,64,-78.4%,
Tuition,Resident Tuition,0,-100.0%,15,-84.4%,0,-100.0%,,,15,-89.2%,
Status,Non-Resident Tuition,50,4.2%,19,-48.6%,0,-100.0%,,,69,-30.3%,
,Tuition Exemption/Waiver,,,9,-90.3%,0,-100.0%,,,9,-95.2%,
Residency,Texas Resident,1,0.0%,16,-83.8%,0,-100.0%,,,17,-88.1%,
Status,"Non-TX, US Resident",,,6,-78.6%,0,-100.0%,,,6,-86.4%,
,"Non-TX, Non-US Resident",49,2.1%,21,-78.8%,0,-100.0%,,,70,-70.6%,
SCH,< 6 SCH,0,-100.0%,21,-55.3%,0,-100.0%,,,21,-67.2%,
Categories,6-8 SCH,,,6,-62.5%,0,-100.0%,,,6,-68.4%,
,9-11 SCH,,,3,-97.9%,0,-100.0%,,,3,-98.9%,
,12-14 SCH,33,3.1%,11,-38.9%,0,-100.0%,,,44,-15.4%,
,15-17 SCH,16,23.1%,2,0.0%,0,-100.0%,,,18,12.5%,
,>17 SCH,1,-66.7%,,,,,,,1,-66.7%,
Ft/Pt:,Less Than Half Time,,,21,-44.7%,0,-100.0%,,,21,-58.0%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,6,-70.0%,0,-100.0%,,,6,-77.8%,
,Full-Time,50,2.0%,16,-90.5%,0,-100.0%,,,66,-81.0%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
