Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Fall 2008,,,,,,,
Official Certified 12th Class Day Data,,,,,,,
Fall 2008,,"G6: PB
Non-Degree","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,342,"5,403","3,307",54,"9,106",
Gender,Female,164,"2,144","1,387",25,"3,720",
,Male,178,"3,259","1,920",29,"5,386",
Ethnicity,White,235,"2,660","1,250",14,"4,159",
,Black,20,125,193,6,344,
,Hispanic,29,344,258,10,641,
,Asian,14,153,82,1,250,
,American Indian,1,11,20,,32,
,International,38,"2,060","1,470",23,"3,591",
,Unknown/Other,5,50,34,,89,
TAMU Age,18-21,7,99,1,2,109,
Categories,22-25,107,"3,174",235,19,"3,535",
,26-30,74,"1,368","1,350",17,"2,809",
,31-39,69,536,"1,210",10,"1,825",
,40+,85,226,511,6,828,
College,Agriculture,32,749,488,11,"1,280",
,Architecture,9,421,87,,517,
,Business Admin,1,820,62,,883,
,Education,81,580,689,8,"1,358",
,Engineering,17,"1,702",928,12,"2,659",
,G. Bush School of Govt,105,184,,,289,
,Geosciences,10,163,135,4,312,
,Liberal Arts,18,334,467,4,823,
,Science,23,368,384,15,790,
,Veterinary Medicine,4,81,67,,152,
,Other - Special Populations,42,1,,,43,
Enrollment,1st Time PB,235,,,,235,
Status,1st Time Graduate,,"2,344",323,29,"2,696",
,Readmitted,,16,14,,30,
,Continuing,107,"3,043","2,970",25,"6,145",
Tuition Status,Resident Tuition,269,"2,564","1,261",25,"4,119",
,Non-Resident Tuition,43,862,338,7,"1,250",
,Tuition Exemption/Waiver,30,"1,977","1,708",22,"3,737",
Residency,Texas Resident,283,"2,629","1,315",25,"4,252",
Status,"Non-TX, US Resident",21,701,516,6,"1,244",
,"Non-TX, Non-US Resident",38,"2,073","1,476",23,"3,610",
SCH,< 6 SCH,189,552,742,1,"1,484",
Categories,6-8 SCH,93,435,165,11,704,
,9-11 SCH,33,"3,190","2,304",41,"5,568",
,12-14 SCH,21,901,79,1,"1,002",
,15-17 SCH,6,230,16,,252,
,>17 SCH,,95,1,,96,
Ft/Pt: TAMU,Less Than Half Time,175,427,615,1,"1,218",
Status,Half-Time,107,501,266,11,885,
,Full-Time,60,"4,475","2,426",42,"7,003",
"Prepared by OISP, 11 Nov 08",,,,,,,
