Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Fall 2008,,,,,,,,,,,,
Enrollment Profile – Fall 2008,,,,,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,,,,,
Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"14,038",0.2%,"1,344",6.1%,603,-0.7%,325,0.9%,"16,310",0.6%,
,Black,637,7.1%,76,-11.6%,132,21.1%,,,845,7.0%,
,Hispanic,"2,578",14.3%,166,12.2%,145,4.3%,28,3.7%,"2,917",13.5%,
,Asian,785,6.1%,63,-4.5%,41,17.1%,16,0.0%,905,5.6%,
,American Indian,117,7.3%,5,-54.5%,11,22.2%,2,0.0%,135,3.1%,
,International,175,6.1%,659,13.4%,443,0.0%,,,"1,277",7.4%,
,Unknown/Other,47,-2.1%,19,35.7%,13,8.3%,6,0.0%,85,6.3%,
,Subtotal,"18,377",2.5%,"2,332",7.3%,"1,388",2.5%,377,1.1%,"22,474",3.0%,
Male,White,"15,325",1.1%,"1,565",-1.0%,647,2.5%,112,-5.9%,"17,649",0.9%,
,Black,578,15.8%,74,5.7%,62,17.0%,1,0.0%,715,14.8%,
,Hispanic,"2,610",8.7%,217,12.4%,113,3.7%,10,11.1%,"2,950",8.8%,
,Asian,974,9.8%,105,25.0%,41,-8.9%,2,0.0%,"1,122",10.2%,
,American Indian,105,0.0%,7,-22.2%,9,28.6%,,,121,0.0%,
,International,403,21.8%,"1,462",19.2%,"1,027",-5.8%,,,"2,892",9.3%,
,Unknown/Other,58,13.7%,36,24.1%,21,-19.2%,1,0.0%,116,8.4%,
,Subtotal,"20,053",3.2%,"3,466",8.6%,"1,920",-2.1%,126,-4.5%,"25,565",3.4%,
Grand Total,,"38,430",2.9%,"5,798",8.1%,"3,308",-0.2%,503,-0.4%,"48,039",3.2%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
