"Fall 2008
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture  ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
1
2
2
1
13
2
2
1
1
25
1
1
36
36
1
17
9
27
6
4
5
8
7
10
3
6
6
1
2
58","Sophomore
10
1
5
1
3
1
3
24
4
1
1
1
7
25
1
26
1
12
6
19
6
4
3
6
2
9
5
3
1
39","Junior
2
27
4
3
13
2
1
1
8
6
3
2
3
75
4
1
3
1
9
9
6
6
1
8
5
35
9
3
25
6
43
2
2
2
2
2
10
8
5
2
2
37","Senior
26
4
2
5
3
1
6
7
3
3
60
4
4
8
8
2
8
5
2
4
29
1
10
3
18
9
41
4
2
3
3
8
8
8
5
7
1
4
53","PB
1
1","Total
3
65
10
4
16
25
8
1
2
19
14
3
7
2
6
185
12
2
9
2
25
17
69
14
6
11
9
126
1
19
8
72
30
130
18
12
13
19
19
37
24
19
13
5
8
187",PB,Master,Total,PB,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,,1,1,,,6,
,,,,,,,,,1,,8,8,,,74,
,,,,,,,,1,1,,2,2,,,13,
,,,,,,,,1,1,,,,,,5,
,,,,,,,,2,2,,1,1,,,19,
,,,,,,,,,,,,,,,25,
,,,,,,,,1,1,,,,,,9,
,,,,,,,,1,1,,2,2,,,4,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,1,1,,,20,
,,,,,,,,,,,,,,,14,
,,,,,,,,1,1,,,,,,4,
,,,,,,,,1,1,,3,3,,,11,
,,,,,,,,1,1,,1,1,,,4,
,,,,,,,,4,4,,1,1,,,11,
,,,,,,,1,15,16,,20,20,,,221,
,,,,,,,,2,2,,,,,,14,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,9,
,,,,,,,2,1,3,,1,1,,,6,
,,,,,,,,1,1,,,,,,1,
,,,,,,,2,4,6,,1,1,,,32,
,,,,,,,,1,1,,,,,,18,
,,,,,,,,13,13,,,,,,82,
,,,,,,,,4,4,,,,,,18,
,,,,,,,,1,1,,,,,,7,
,,,,,,,,3,3,,1,1,,,15,
,,,,,,,,,,,,,,,9,
,,,,,,,,22,22,,1,1,,,149,
,,,,,,,,,,,,,,,1,
,,,,,,,3,23,26,,44,44,,,89,
,,,,,,,,7,7,,19,19,,,34,
,,,,,,,,2,2,,5,5,,,79,
,,,,,,,7,5,12,,47,47,,,89,
,,,,,,,10,37,47,,115,115,,,292,
,,,,,,,,,,,,,,,18,
,,,,,,,,,,,,,,,12,
,,,,,,,,1,1,,2,2,,,16,
,,,,,,,,,,,2,2,,,2,
,,,,,,,,3,3,,2,2,,,24,
,,,,,,,,,,,1,1,,,20,
,,,,,,,,4,4,,2,2,,,43,
,,,,,,,,1,1,,,,,,25,
,,,,,,,,1,1,,2,2,,,22,
,,,,,,,,8,8,,6,6,,,27,
,,,,,,,,,,,1,1,,,6,
,,,,,,,,6,6,,1,1,,,15,
,,,,,,,,24,24,,19,19,,,230,
,,,,,,,1,9,10,,,,,,10,
,,,,,,,1,9,10,,,,,,10,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,
