"Fall 2008
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special        CLMD Populations             MARS
SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,,Professional,,Grand Total,
,"Freshman
7
1
3
3
14
1
20
16
1
13
1
3
9
1
29
4
37
8
143
120
16
19
6
161
128
128
405
405
1,473","Sophomore
4
3
3
3
13
5
24
24
5
15
4
24
2
25
7
45
7
187
51
7
7
1
66
71
71
270
270
1,125","Junior
6
4
2
5
17
10
30
25
9
19
2
12
22
3
31
9
59
18
249
52
3
7
2
64
51
51
31
31
1,205","Senior
7
6
2
15
5
34
31
27
30
1
20
28
4
46
3
53
31
313
56
9
13
9
87
56
56
1,377","PB
1
1
8","Total
24
8
14
13
59
21
108
96
42
77
5
39
83
10
131
23
194
64
893
279
35
46
18
378
306
306
706
706
5,188",PB,Master,Total,PB,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,,4,4,38,38,25,
,,,,,,,,,,,,,,,8,
,,,,,,,,2,2,,,,,,16,
,,,,,,,,3,3,,,,,,16,
,,,,,,,,3,3,,,,,,3,
,,,,,,,,9,9,,,,,,68,
,,,,,,,,3,3,,,,,,28,
,,,,,,,,,,,,,,,108,
,,,,,,,,3,3,,4,4,,,103,
,,,,,,,,4,4,,,,,,46,
,,,,,,,,2,2,,4,4,,,83,
,,,,,,,,,,,,,,,5,
,,,,,,,,8,9,,11,11,,,59,
,,,,,,,,4,4,,2,2,,,89,
,,,,,,,,2,2,,1,1,,,13,
,,,,,,,,1,1,,4,4,,,136,
,,,,,,,,,,,,,,,23,
,,,,,,,,6,6,,12,12,,,212,
,,,,,,,,11,11,,14,14,,,89,
,,,,,,,1,44,45,,56,56,,,994,
,,,,,,,,3,3,,1,1,,,283,
,,,,,,,,11,11,,10,10,,,56,
,,,,,,,,3,3,,1,1,,,50,
,,,,,,,,6,6,,4,4,,,28,
,,,,,,,,4,4,,1,1,,,5,
,,,,,,,,27,27,,17,17,,,422,
,,,,,,,,1,1,,,,,,345,
,,,,,,,,1,1,,,,,,1,
,,,,,,,,,,,4,4,,,4,
,,,,,,,,2,2,,4,4,38,38,350,
,,,,,,,,,,,,,,,706,
,,,,,,,,,,,,,,,706,
,,,,,,,1,,1,,,,,,1,
,,,,,,,2,,2,,,,,,2,
,,,,,,,3,,3,,,,,,3,
,,,,,,,29,354,383,,258,258,38,38,"5,867",
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,
