Fall 2008,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,168,5.0%,40,900.0%,61,1.7%,,,168,5.0%,
,AGBU,109,22.5%,,,,,,,149,60.2%,
,AGCJ,135,25.0%,,,,,,,135,25.0%,
,AGEC,351,5.7%,56,5.7%,,,,,468,5.2%,
,AGED,,,59,7.3%,43,-14.0%,,,102,-2.9%,
,AGEN,27,-55.0%,1,100.0%,,,,,28,-53.3%,
,AGLS,263,-31.0%,,,,,,,263,-31.0%,
,AGRO,95,-8.7%,19,46.2%,13,0.0%,,,127,-2.3%,
,AGSC,91,5.8%,,,,,,,91,5.8%,
,AGSM,148,8.8%,1,-50.0%,,,,,149,8.0%,
,ALED,652,-3.7%,35,59.1%,,,,,687,-1.7%,
,ANBR,,,4,100.0%,0,-100.0%,,,4,33.3%,
,ANSC,753,-2.5%,70,7.7%,11,-21.4%,,,834,-2.0%,
,BAEN,98,42.0%,38,22.6%,19,0.0%,,,155,30.3%,
,BESC,171,7.5%,,,,,,,171,7.5%,
,BICH,185,1.6%,45,2.3%,59,-15.7%,,,289,-2.4%,
,BIOT,,,39,100.0%,,,,,39,100.0%,
,BSEN,5,-16.7%,,,,,,,5,-16.7%,
,CDEV,5,100.0%,,,,,,,5,100.0%,
,DASC,5,0.0%,2,0.0%,,,,,7,0.0%,
,ECOR,8,60.0%,,,,,,,8,60.0%,
,ENST,10,-37.5%,,,,,,,10,-37.5%,
,ENTO,87,-6.5%,25,-10.7%,23,-8.0%,,,135,-7.5%,
,FISC,,,3,200.0%,,,,,3,200.0%,
,FIVL,37,100.0%,,,,,,,37,100.0%,
,FLOR,3,50.0%,1,-50.0%,,,,,4,0.0%,
,FORS,19,-13.6%,6,0.0%,4,-50.0%,,,29,-19.4%,
,FSTC,98,12.6%,31,1450.0%,14,100.0%,,,143,60.7%,
,GENE,119,-10.5%,16,100.0%,20,1900.0%,,,155,15.7%,
,HORT,160,8.1%,13,-13.3%,16,0.0%,,,189,5.6%,
,MEPS,,,7,100.0%,17,100.0%,,,24,100.0%,
,NRDV,,,10,25.0%,,,,,10,25.0%,
,NUSC,559,0.5%,,,,,,,559,0.5%,
,NUTR,,,25,100.0%,15,100.0%,,,40,100.0%,
,PLBR,,,19,26.7%,12,20.0%,,,31,24.0%,
,PLPA,,,18,38.5%,10,-23.1%,,,28,7.7%,
,POSC,137,-2.1%,17,41.7%,13,0.0%,,,167,1.2%,
,PREP,,,15,36.4%,12,-25.0%,,,27,0.0%,
,PSSC,4,0.0%,,,,,,,4,0.0%,
,RENR,36,28.6%,,,,,,,36,28.6%,
,RLEM,107,-10.8%,38,5.6%,11,-21.4%,,,156,-8.2%,
,RPTS,282,-6.0%,25,-32.4%,41,0.0%,,,348,-7.9%,
,SOSC,,,16,14.3%,7,16.7%,,,23,15.0%,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,
