"Fall 2008
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,,M,,Tot,,
,,31,,30,61,,1,,2,3,,9,,8,17,,2,,2,4,1,1,2,6,5,11,,,,,50,,48,,98,
,,23,,20,43,,1,,2,3,,6,,4,10,,1,,1,2,1,1,2,2,3,5,,,,,34,,31,,65,
,,4,,4,8,,,,,,,2,,1,3,,,,,,,,,4,1,5,,,,,10,,6,,16,
,,3,,5,8,,,,,,,,,2,2,,,,1,1,,,,,1,1,,,,,3,,9,,12,
,,,,1,1,,,,,,,,,1,1,,1,,,1,,,,,,,,,,,1,,2,,3,
,,1,,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,2,,,,2,
,,7,,8,15,,1,,1,2,,3,,2,5,,1,,,1,,,,1,3,4,,,,,13,,14,,27,
,,21,,21,42,,,,1,1,,6,,6,12,,1,,2,3,1,1,2,2,,2,,,,,31,,31,,62,
,,3,,1,4,,,,,,,,,,,,,,,,,,,3,2,5,,,,,6,,3,,9,
,,31,,30,61,,,,2,2,,9,,8,17,,2,,1,3,1,1,2,,,,,,,,43,,42,,85,
,,,,,,,1,,,1,,,,,,,,,1,1,,,,3,3,6,,,,,4,,4,,8,
,,,,,,,,,,,,,,,,,,,,,,,,3,2,5,,,,,3,,2,,5,
,,31,,30,61,,,,2,2,,9,,8,17,,2,,1,3,1,1,2,,,,,,,,43,,42,,85,
,,,,,,,1,,,1,,,,,,,,,1,1,,,,,,,,,,,1,,1,,2,
,,,,,,,,,,,,,,,,,,,,,,,,6,5,11,,,,,6,,5,,11,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,
,,21,,20,41,,1,,1,2,,4,,4,8,,2,,1,3,1,,1,4,3,7,,,,,33,,29,,62,
,,8,,8,16,,,,1,1,,5,,4,9,,,,1,1,,1,1,2,2,4,,,,,15,,17,,32,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,1,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,
,,29,,28,57,,1,,2,3,,9,,8,17,,2,,2,4,1,1,2,6,5,11,,,,,48,,46,,94,
,,26,,28,54,,1,,2,3,,8,,7,15,,1,,2,3,1,1,2,6,5,11,,,,,43,,45,,88,
,,5,,2,7,,,,,,,1,,1,2,,1,,,1,,,,,,,,,,,7,,3,,10,
,,25,,20,45,,,,1,1,,5,,2,7,,1,,2,3,1,,1,,,,,,,,32,,25,,57,
,,1,,1,2,,1,,,1,,,,,,,,,,,,,,6,5,11,,,,,8,,6,,14,
,,5,,9,14,,,,1,1,,4,,6,10,,1,,,1,,1,1,,,,,,,,10,,17,,27,
,,29,,28,57,,1,,2,3,,9,,8,17,,2,,1,3,1,1,2,6,5,11,,,,,48,,45,,93,
,,2,,2,4,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,,3,,5,
"Prepared by OISP, 11 Nov 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
