Texas A&M University,,,,,
Office of Institutional Studies and Planning,,,,,
Demographic Summary,,,,,
for the Corps of Cadets Spring 2008,,,,,
Enrollment Profile – Spring 2008 Official Certified 12th Class Day Data,,,,,
Spring 2008,,Not in Corps,In Corps,Grand Total,
Head Count,Total,"41,643","2,108","43,751",
Gender,Female,"20,300",244,"20,544",
,Male,"21,343","1,864","23,207",
Ethnicity,White,"30,023","1,680","31,703",
,Black,"1,298",41,"1,339",
,Hispanic,"4,700",299,"4,999",
,Asian,"1,720",61,"1,781",
,American Indian,219,16,235,
,International,"3,526",7,"3,533",
,Unknown/Other,157,4,161,
TAMU Age,<18,1,,1,
Categories,18-21,"19,644","1,230","20,874",
,22-25,"15,220",808,"16,028",
,26-30,"3,654",60,"3,714",
,31-39,"2,170",8,"2,178",
,40+,954,2,956,
College,Agriculture,"5,982",349,"6,331",
,Architecture,"1,707",94,"1,801",
,Business Admin,"4,599",118,"4,717",
,Education,"5,096",127,"5,223",
,Engineering,"8,517",464,"8,981",
,G. Bush School of Govt,258,7,265,
,Geosciences,693,45,738,
,Liberal Arts,"6,068",466,"6,534",
,Science,"2,656",67,"2,723",
,Veterinary Medicine,"2,189",42,"2,231",
,General Studies,"3,476",328,"3,804",
,Other - Special Populations,402,1,403,
Enrollment,1st Time in College,84,1,85,
Status,1st Time PB,134,1,135,
,1st Time Graduate,526,7,533,
,1st Time Transfer,789,1,790,
,Readmitted,257,13,270,
,Continuing,"39,853","2,085","41,938",
Tuition,Resident Tuition,"35,546","1,825","37,371",
Status,Non-Resident Tuition,"1,701",13,"1,714",
,Tuition Exemption/Waiver,"4,396",270,"4,666",
Residency,Texas Resident,"36,012","1,846","37,858",
Status,"Non-TX, US Resident","2,075",255,"2,330",
,"Non-TX, Non-US Resident","3,556",7,"3,563",
SCH,< 6 SCH,"2,302",39,"2,341",
Categories,6-8 SCH,"1,889",99,"1,988",
,9-11 SCH,"6,674",75,"6,749",
,12-14 SCH,"16,864",847,"17,711",
,15-17 SCH,"12,409",912,"13,321",
,>17 SCH,"1,505",136,"1,641",
Ft/Pt:,Less Than Half Time,"1,935",33,"1,968",
TAMU,Half-Time,"1,652",99,"1,751",
Status,Three-Quarter Time,"1,551",52,"1,603",
,Full-Time,"36,505","1,924","38,429",
"Prepared by OISP, 22 Feb 08",,,,,
