Texas A&M University,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,
Residency Status by Tuition Status by College,,,,,,,,,
Spring 2008,,,,,,,,,
Enrollment Profile – Spring 2008 Official Certified 12th Class Day Data,,,,,,,,,
"Spring 2008
Agriculture         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Architecture        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Business              Texas Resident
Admin                 Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Education            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Engineering        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
G. Bush               Texas Resident
School of            Non-TX, US Resident
Subtotal Geosciences        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Liberal Arts         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Science                Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Veterinary           Texas Resident
Medicine             Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
General               Texas Resident
Studies                Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Other -                 Texas Resident
Special                Non-TX, US Resident
Subtotal
Total                    Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Grand Total",Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,
,"5,541",3.6%,6,0.0%,68,-8.1%,"5,615",3.4%,
,,,101,2.0%,281,1.4%,382,1.6%,
,9,28.6%,63,-10.0%,262,1.9%,334,0.0%,
,"5,550",3.6%,170,-2.9%,611,0.5%,"6,331",3.1%,
,"1,488",-0.1%,0,-100.0%,25,47.1%,"1,513",0.3%,
,,,25,-3.8%,50,-2.0%,75,-2.6%,
,2,0.0%,51,21.4%,160,7.4%,213,10.4%,
,"1,490",-0.1%,76,8.6%,235,8.3%,"1,801",1.3%,
,"4,394",2.0%,2,-50.0%,44,-2.2%,"4,440",1.9%,
,,,33,-5.7%,77,-11.5%,110,-9.8%,
,11,22.2%,35,-18.6%,121,-7.6%,167,-8.7%,
,"4,405",2.1%,70,-14.6%,242,-8.0%,"4,717",1.2%,
,"4,877",1.8%,3,-57.1%,51,-1.9%,"4,931",1.6%,
,,,52,2.0%,103,0.0%,155,0.6%,
,4,100.0%,46,9.5%,87,-4.4%,137,1.5%,
,"4,881",1.8%,101,1.0%,241,-2.0%,"5,223",1.6%,
,"6,570",2.5%,19,-32.1%,121,16.3%,"6,710",2.6%,
,,,135,0.0%,384,3.5%,519,2.6%,
,28,-9.7%,585,20.9%,"1,139",1.5%,"1,752",7.0%,
,"6,598",2.4%,739,14.2%,"1,644",2.9%,"8,981",3.4%,
,181,21.5%,1,0.0%,17,142.9%,199,26.8%,
,,,4,0.0%,43,13.2%,47,11.9%,
,1,0.0%,,,18,50.0%,19,46.2%,
,182,21.3%,5,0.0%,78,36.8%,265,25.0%,
,526,3.3%,2,-33.3%,8,-11.1%,536,2.9%,
,,,16,-42.9%,68,9.7%,84,-6.7%,
,1,100.0%,20,81.8%,97,-4.0%,118,5.4%,
,527,3.5%,38,-9.5%,173,0.6%,738,2.1%,
,"5,799",0.9%,13,18.2%,54,-30.8%,"5,866",0.5%,
,,,135,-6.3%,338,4.0%,473,0.9%,
,0,-100.0%,68,6.3%,127,-8.6%,195,-4.4%,
,"5,799",0.9%,216,-1.4%,519,-4.2%,"6,534",0.4%,
,"2,084",-0.6%,8,100.0%,49,4.3%,"2,141",-0.3%,
,,,38,-19.1%,196,-3.4%,234,-6.4%,
,7,-12.5%,24,4.3%,317,2.9%,348,2.7%,
,"2,091",-0.6%,70,-5.4%,562,0.7%,"2,723",-0.5%,
,"2,080",-0.4%,2,-60.0%,20,-45.9%,"2,102",-1.3%,
,,,32,6.7%,62,0.0%,94,2.2%,
,2,-33.3%,4,0.0%,29,-14.7%,35,-14.6%,
,"2,082",-0.4%,38,-2.6%,111,-16.5%,"2,231",-1.4%,
,"3,623",20.4%,7,-12.5%,29,38.1%,"3,659",20.5%,
,,,76,31.0%,42,-19.2%,118,7.3%,
,3,100.0%,17,41.7%,7,-30.0%,27,22.7%,
,"3,626",20.5%,100,28.2%,78,-6.0%,"3,804",20.0%,
,140,15.7%,1,100.0%,5,66.7%,146,17.7%,
,,,8,14.3%,31,6.9%,39,8.3%,
,0,-100.0%,82,10.8%,136,11.5%,218,10.7%,
,140,14.8%,91,12.3%,172,11.7%,403,12.9%,
,"37,303",3.4%,64,-19.0%,491,-0.6%,"37,858",3.3%,
,,,655,-1.4%,"1,675",0.9%,"2,330",0.3%,
,68,4.6%,995,14.5%,"2,500",1.0%,"3,563",4.5%,
,"37,371",3.4%,"1,714",6.3%,"4,666",0.8%,"43,751",3.2%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,
