"Spring 2008
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                 CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
1
1
2
1
2
1
8
1
1
9
9
1
1
2
5
2
3
2
4
1
3
5
25
2
2","1st Time PB
1
1
1
2
1
6
2
2
2
1
1
4","1st Time Transfer
42
53
31
6
1
20
8
12
11
5
9
20
3
12
233
10
22
1
33
1
1
17
15
40
40
112
4
4
7
11
22
15
37
14
16
3
12
145
8
3
1
7
19","Readmitted
1
18
1
2
5
14
4
5
2
4
5
5
7
1
8
82
3
1
2
1
7
1
5
1
2
4
4
17
3
1
8
5
17
1
5
2
7
13
2
1
1
32
2
2
1
5","Continuing
533
808
698
246
288
358
83
193
148
623
172
126
273
96
328
4,973
542
14
609
165
1,330
634
1,577
673
152
314
533
3,883
353
8
218
1,891
1,338
3,808
527
340
631
517
961
673
818
387
989
213
503
6,559
125
43
137
149
454",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,2,8,1,53,1,1,59,,698,
,,,,,,,18,,47,1,,46,,995,
,,,,,,3,12,,74,1,,31,,853,
,,,,,,,7,,28,2,,18,,310,
,,,,,,,,,37,,,68,,399,
,,,,,,1,2,,11,,,1,,411,
,,,,,,1,2,,25,2,,22,,139,
,,,,,,,4,,36,1,,19,,268,
,,,,,,1,1,,13,,,16,,193,
,,,,,,,,,,,,,,641,
,,,,,,,1,,11,,,11,,205,
,,,,,,2,2,,11,1,,12,,168,
,,,,,,,4,,32,,,40,,376,
,,,,,,,5,,32,3,,28,,168,
,,,,,,5,11,1,84,1,,56,,507,
,,,,,,15,77,2,494,13,1,427,,"6,331",
,,,,,,2,,,106,1,,35,,699,
,,,,,,,,,,,,,,15,
,,,,,,,12,,76,,,,,723,
,,,,,,2,4,,89,,,40,,303,
,,,,,,,,,61,,,,,61,
,,,,,,4,16,,332,1,,75,,"1,801",
,,,,,,,33,,116,,,16,,801,
,,,,,,,,,184,,,,,"1,775",
,,,,,,,58,,160,,,13,,905,
,,,,,,,9,,103,,,4,,270,
,,,,,,,,,36,,,16,,370,
,,,,,,,6,,39,,,14,,596,
,,,,,,,106,,638,,,63,,"4,717",
,,,,,,,,,,,,,,373,
,,,,,,9,18,,115,4,6,279,,439,
,,,,,,2,12,1,106,,1,165,,521,
,,,,,,,9,1,85,1,,43,,"2,079",
,,,,,,3,53,1,190,7,,173,,"1,811",
,,,,,,14,92,3,496,12,7,660,,"5,223",
,,,,,,,7,,49,1,,46,,639,
,,,,,,,2,,33,1,1,31,,414,
,,,,,,,,,51,2,,75,,770,
,,,,,,,,,1,,,9,,10,
,,,,,,,3,,137,2,,129,,808,
,,,,,,,32,1,155,5,,130,,"1,312",
,,,,,,,15,,264,4,,163,,"1,141",
,,,,,,,,,20,,,,,890,
,,,,,,1,16,,118,2,,50,,590,
,,,,,,3,19,2,216,6,,104,,"1,360",
,,,,,,,2,,62,4,,29,,313,
,,,,,,7,15,,125,5,,61,,734,
,,,,,,11,111,3,"1,231",32,1,827,,"8,981",
,,,,,,40,1,,224,,,,,265,
,,,,,,40,1,,224,,,,,265,
,,,,,,,2,,26,1,,24,,186,
,,,,,,,,,3,,,,,51,
,,,,,,1,,,18,1,,32,,192,
,,,,,,3,2,1,45,,,31,,241,
,,,,,,,1,,29,2,,36,,68,
,,,,,,4,5,1,121,4,,123,,738,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
