"Spring 2008
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal Other - Special         CLMD Populations               COFD
GACD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
2
1
1
1
3
2
10
4
2
6
8
8
14
14
85","1st Time PB
1
1
13","1st Time Transfer
7
8
27
19
16
2
3
9
2
20
2
40
6
161
19
1
5
25
2
2
59
59
790","Readmitted
3
3
4
6
5
1
4
2
7
6
2
43
4
1
1
6
3
3
40
40
252","Continuing
120
454
931
408
611
32
81
658
81
780
71
1,002
328
5,557
1,390
245
1
248
103
1,987
1,593
1,593
3,691
3,691
1
2
46
49
33,884",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,1,2,9,59,1,9,47,505,238,
,,,,,,,,,4,,,,,471,
,,,,,,,,,20,,,51,,"1,034",
,,,,,,,5,,51,1,,54,,544,
,,,,,,,,,38,,,82,,753,
,,,,,,,,,,,,,,35,
,,,,,,,2,,12,,,19,,119,
,,,,,,2,1,,18,2,,41,,737,
,,,,,,1,,,19,,,5,,110,
,,,,,,,,,16,,,44,,870,
,,,,,,,,,,,,,,73,
,,,,,,,,,30,1,,48,,"1,129",
,,,,,,,,,34,1,,50,,421,
,,,,,,4,10,,301,6,,441,,"6,534",
,,,,,,,,,31,,,56,,"1,504",
,,,,,,,,,129,,,109,,485,
,,,,,,,,,,,,,,1,
,,,,,,4,5,,46,1,,60,,371,
,,,,,,,2,,48,2,,85,,241,
,,,,,,1,4,,69,6,,41,,121,
,,,,,,5,11,,323,9,,351,,"2,723",
,,,,,,,1,,8,,,1,,"2,121",
,,,,,,1,,,17,,,18,,36,
,,,,,,,,,4,,,,,4,
,,,,,,,1,,4,,,,,5,
,,,,,,,1,,17,,,26,,44,
,,,,,,,,,12,,,9,,21,
,,,,,,1,3,,62,,,54,505,"2,231",
,,,,,,,,,,,,,,"3,804",
,,,,,,,,,,,,,,"3,804",
,,,,,,2,,,12,,,,,14,
,,,,,,,22,,144,2,,142,,310,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,1,,,,,1,
,,,,,,7,,,1,,,,,54,
,,,,,,15,,,6,,,,,21,
,,,,,,24,22,,164,2,,142,,403,
,,,,,,122,454,,"4,386",79,,"3,163",505,"43,751",
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
