"Spring 2008
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD GACD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
3
1
2
3
1
1
13
13
32","Sophomore
1
3
2
1
1
3
11
3
1
4
2
2
14
14
56","Junior
1
1
2
1
1
1
1
3
1
1
11
2
2
3
3
1
1
50","Senior
1
1
2
1
3
2
2
1
2
1
14
3
2
1
6
1
1
58","PB
1","Total
1
1
2
2
4
8
3
4
2
6
1
1
7
1
39
9
4
1
1
15
7
7
28
28
197",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,1,1,2,2,2,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,3,
,,,,,,,,,,1,1,,,5,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,6,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,8,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,3,3,3,3,,,45,
,,,,,,,,,,,,,,9,
,,,,,,,,,,2,2,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,3,
,,,,,,,,,,4,4,,,19,
,,,,,,,,,,,,,,9,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,2,2,10,
,,,,,,,,,,,,,,28,
,,,,,,,,,,,,,,28,
,,,,,,,,17,19,17,17,2,2,235,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
