Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,373",1.6%,352,1.7%,76,-6.2%,,,"1,801",1.3%,
Gender,Female,411,2.0%,132,0.8%,28,-3.4%,,,571,1.4%,
,Male,962,1.5%,220,2.3%,48,-7.7%,,,"1,230",1.2%,
Ethnicity,White,"1,109",0.4%,161,-4.2%,21,-4.5%,,,"1,291",-0.3%,
,Black,20,11.1%,7,-41.7%,1,0.0%,,,28,-9.7%,
,Hispanic,173,6.8%,18,-5.3%,3,0.0%,,,194,5.4%,
,Asian,43,-2.3%,11,-15.4%,4,100.0%,,,58,-1.7%,
,American Indian,10,42.9%,0,-100.0%,1,0.0%,,,11,22.2%,
,International,12,20.0%,153,20.5%,46,-11.5%,,,211,11.6%,
,Unknown/Other,6,20.0%,2,-66.7%,,,,,8,-27.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,619,3.7%,,,,,,,619,3.7%,
,22-25,671,-1.8%,130,1.6%,,,,,801,-1.2%,
,26-30,63,28.6%,160,10.3%,13,-31.6%,,,236,10.8%,
,31-39,14,-22.2%,49,-21.0%,46,0.0%,,,109,-13.5%,
,40+,6,50.0%,13,18.2%,17,6.3%,,,36,16.1%,
Enrollment,1st Time in College,1,0.0%,,,,,,,1,0.0%,
Status,1st Time PB,2,100.0%,4,100.0%,,,,,6,200.0%,
,1st Time Graduate,,,16,0.0%,1,0.0%,,,17,0.0%,
,1st Time Transfer,33,3.1%,,,,,,,33,3.1%,
,Readmitted,7,-30.0%,0,-100.0%,,,,,7,-46.2%,
,Continuing,"1,330",1.7%,332,2.2%,75,-6.3%,,,"1,737",1.4%,
Tuition,Resident Tuition,"1,304",1.2%,162,-8.5%,24,-4.0%,,,"1,490",-0.1%,
Status,Non-Resident Tuition,19,-26.9%,51,59.4%,6,-50.0%,,,76,8.6%,
,Tuition Exemption/Waiver,50,38.9%,139,1.5%,46,4.5%,,,235,8.3%,
Residency,Texas Resident,"1,322",1.5%,167,-7.2%,24,-4.0%,,,"1,513",0.3%,
Status,"Non-TX, US Resident",39,5.4%,30,-16.7%,6,50.0%,,,75,-2.6%,
,"Non-TX, Non-US Resident",12,9.1%,155,19.2%,46,-11.5%,,,213,10.4%,
SCH,< 6 SCH,15,-21.1%,37,23.3%,17,-19.0%,,,69,-1.4%,
Categories,6-8 SCH,96,-5.9%,8,-52.9%,3,50.0%,,,107,-11.6%,
,9-11 SCH,108,33.3%,122,-14.1%,52,-8.8%,,,282,0.7%,
,12-14 SCH,686,7.5%,135,22.7%,3,200.0%,,,824,10.0%,
,15-17 SCH,424,-4.1%,46,2.2%,,,,,470,-3.5%,
,>17 SCH,44,-36.2%,4,100.0%,1,100.0%,,,49,-31.0%,
Ft/Pt:,Less Than Half Time,15,-21.1%,34,47.8%,14,-22.2%,,,63,5.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","29
66","0.0%
-8.3%",10,-44.4%,6,200.0%,,,"45
66","-8.2%
-8.3%",
,Full-Time,"1,263",2.6%,308,1.0%,56,-8.2%,,,"1,627",1.9%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
