"Spring 2008
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture     ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
4
1
1
1
1
1
1
5
6
2
6
1
2
1
17
40","Sophomore
3
2
4
2
1
12
2
2
4
1
1
2
5
4
7
1
10
6
7
1
19
60","Junior
2
1
1
3
1
2
1
11
4
4
3
1
1
5
1
1
5
2
14
4
1
12
2
7
4
3
17
71","Senior
1
2
2
3
1
1
4
1
1
1
17
2
1
3
1
4
1
4
10
1
3
2
6
5
7
15
4
5
25
3
14
10
1
14
103","PB
1
1
1
1
2","Total
6
3
3
2
8
7
2
8
1
2
1
1
44
9
2
1
12
4
1
5
1
1
4
16
2
1
4
4
11
15
13
41
15
8
54
6
29
22
5
68
276",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,22,22,45,45,,,73,
,,,,,,,,1,1,2,2,,,6,
,,,,,,,,5,5,8,8,,,16,
,,,,,,,,22,22,12,12,,,36,
,,,,,,,,14,14,34,34,,,56,
,,,,,,,,3,3,,,,,10,
,,,,,,,,1,1,8,8,,,9,
,,,,,,,,3,3,7,7,,,10,
,,,,,,,,5,5,12,12,,,19,
,,,,,,,,,,,,,,8,
,,,,,,,,2,2,6,6,,,9,
,,,,,,,,2,2,8,8,,,10,
,,,,,,,,6,6,24,24,,,32,
,,,,,,,,10,10,10,10,,,21,
,,,,,,,,7,7,9,9,,,17,
,,,,,,,,103,103,185,185,,,332,
,,,,,,,,40,40,19,19,,,68,
,,,,,,,,66,66,,,,,68,
,,,,,,,,38,39,27,27,,,67,
,,,,,,,,8,8,,,,,8,
,,,,,,,1,152,153,46,46,,,211,
,,,,,,,,9,9,1,1,,,14,
,,,,,,,,31,31,,,,,32,
,,,,,,,,7,7,8,8,,,20,
,,,,,,,,67,67,2,2,,,70,
,,,,,,,,3,3,6,6,,,10,
,,,,,,,,5,5,9,9,,,18,
,,,,,,,,122,122,26,26,,,164,
,,,,,,,,,,,,,,2,
,,,,,,,,4,4,14,14,,,18,
,,,,,,,,13,13,26,26,,,40,
,,,,,,,,16,16,13,13,,,33,
,,,,,,,,15,15,25,25,,,44,
,,,,,,,,48,48,78,78,,,137,
,,,,,,,,13,13,28,28,,,56,
,,,,,,,,17,17,18,18,,,48,
,,,,,,,,32,32,64,64,,,137,
,,,,,,,,1,1,3,3,,,4,
,,,,,,,,88,88,88,88,,,191,
,,,,,,,,104,104,112,112,,,224,
,,,,,,,1,218,219,142,142,,,415,
,,,,,,,,,,,,,,6,
,,,,,,,1,109,110,41,41,,,180,
,,,,,,,2,135,137,82,82,,,241,
,,,,,,,,8,8,14,14,,,27,
,,,,,,,7,82,89,57,57,,,214,
,,,,,,,11,807,818,649,649,,,"1,743",
,,,,,,,1,18,19,,,,,19,
,,,,,,,1,18,19,,,,,19,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,
