Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Demographic Summary by Entry Status,,,,,,,,,,,,
Spring 2008,,,,,,,,,,,,
Enrollment Profile – Spring 2008 Official Certified 12th Class Day Data,,,,,,,,,,,,
Spring 2008,,Undergraduate,,,,,Graduate,,,,Professional,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,Continuing,
Head Count,Total,85,13,790,252,"33,884",122,533,18,"7,549",505,
Gender,Female,37,5,364,101,"16,263",60,235,6,"3,099",374,
,Male,48,8,426,151,"17,621",62,298,12,"4,450",131,
Ethnicity,White,51,10,624,197,"26,419",79,312,12,"3,557",442,
,Black,7,,17,8,"1,000",7,17,3,279,1,
,Hispanic,8,2,85,35,"4,255",9,37,2,531,35,
,Asian,2,1,23,6,"1,514",7,12,,198,18,
,American Indian,,,4,2,191,1,1,,34,2,
,International,17,,33,4,427,17,150,,"2,885",,
,Unknown/Other,,,4,,78,2,4,1,65,7,
TAMU Age,<18,1,,,,,,,,,,
Categories,18-21,81,1,491,54,"20,238",1,4,,3,1,
,22-25,3,7,240,137,"12,739",37,294,,"2,327",244,
,26-30,,3,41,45,631,33,144,6,"2,599",212,
,31-39,,2,13,11,187,28,62,5,"1,828",42,
,40+,,,5,5,89,23,29,7,792,6,
College,Agriculture,8,6,233,82,"4,973",15,90,3,921,,
,Architecture,1,2,33,7,"1,330",4,17,,407,,
,Business Admin,9,,1,17,"3,883",,106,,701,,
,Education,2,,112,17,"3,808",14,104,10,"1,156",,
,Engineering,25,4,145,32,"6,559",11,143,4,"2,058",,
,G. Bush School of Govt,,,,,,40,1,,224,,
,Geosciences,2,,19,5,454,4,9,1,244,,
,Liberal Arts,10,1,161,43,"5,557",4,16,,742,,
,Science,6,,25,6,"1,987",5,20,,674,,
,Veterinary Medicine,8,,2,3,"1,593",1,3,,116,505,
,General Studies,14,,59,40,"3,691",,,,,,
,Other - Special Populations,,,,,49,24,24,,306,,
Student,Lower,85,,515,65,"13,842",,,,,,
Level,Upper,,13,275,187,"20,042",,,,,,
,Masters,,,,,,122,454,9,"4,386",,
,PhD,,,,,,,79,9,"3,163",,
,Professional,,,,,,,,,,505,
Tuition,Resident Tuition,62,13,729,246,"31,952",95,338,17,"3,451",468,
Status,Non-Resident Tuition,19,,49,2,771,14,74,,779,6,
,Tuition Exemption/Waiver,4,,12,4,"1,161",13,121,1,"3,319",31,
Residency,Texas Resident,63,13,739,247,"32,315",99,344,17,"3,546",475,
Status,"Non-TX, US Resident",5,,17,1,"1,132",5,39,1,"1,100",30,
,"Non-TX, Non-US Resident",17,,34,4,437,18,150,,"2,903",,
SCH,< 6 SCH,1,3,10,11,879,71,49,13,"1,304",,
Categories,6-8 SCH,4,2,30,33,"1,195",20,81,3,620,,
,9-11 SCH,3,2,41,30,"1,648",23,314,2,"4,686",,
,12-14 SCH,54,5,476,114,"16,238",6,80,,738,,
,15-17 SCH,22,1,230,55,"12,885",2,8,,118,,
,>17 SCH,1,,3,9,"1,039",,1,,83,505,
Ft/Pt:,Less Than Half Time,1,3,10,11,789,69,36,10,"1,039",,
TAMU,Half-Time,4,2,30,31,816,22,86,5,755,,
Status,Three-Quarter Time,3,2,41,30,"1,527",,,,,,
,Full-Time,77,6,709,180,"30,752",31,411,3,"5,755",505,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
