Texas A&M University,,,,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,,,,
Headcount by Level by Ethnic Origin by Gender,,,,,,,,,,,,
Summer 2008,,,,,,,,,,,,
Enrollment Profile – Summer 2008,,,,,,,,,,,,
Official Combined Summer Data – Not Certified,,,,,,,,,,,,
Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Female,White,"4,721",3.3%,815,14.1%,454,-1.1%,91,-4.2%,"6,081",4.1%,
,Black,301,36.2%,48,-5.9%,91,42.2%,,,440,31.0%,
,Hispanic,822,23.6%,88,-4.3%,94,-10.5%,6,50.0%,"1,010",16.6%,
,Asian,253,20.5%,35,9.4%,26,4.0%,6,0.0%,320,17.2%,
,American Indian,34,13.3%,5,-28.6%,8,14.3%,1,100.0%,48,9.1%,
,International,73,-8.8%,339,27.9%,345,0.0%,,,757,9.7%,
,Unknown/Other,36,-41.0%,8,60.0%,13,8.3%,1,0.0%,58,-26.6%,
,Subtotal,"6,240",6.9%,"1,338",14.8%,"1,031",1.4%,105,-0.9%,"8,714",7.2%,
Male,White,"4,951",5.9%,867,10.9%,455,-6.6%,25,-35.9%,"6,298",5.3%,
,Black,297,30.8%,43,4.9%,45,36.4%,1,100.0%,386,28.2%,
,Hispanic,843,24.0%,108,13.7%,84,5.0%,3,50.0%,"1,038",21.1%,
,Asian,289,15.6%,41,-2.4%,29,-23.7%,1,0.0%,360,8.8%,
,American Indian,40,37.9%,1,-85.7%,4,0.0%,,,45,12.5%,
,International,166,14.5%,702,24.2%,829,-3.5%,,,"1,697",8.2%,
,Unknown/Other,56,-30.0%,11,-21.4%,17,-15.0%,0,-100.0%,84,-27.0%,
,Subtotal,"6,642",9.2%,"1,773",14.7%,"1,463",-3.8%,30,-30.2%,"9,908",7.8%,
Grand Total,,"12,882",8.0%,"3,111",14.7%,"2,494",-1.7%,135,-9.4%,"18,622",7.5%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
