"Summer 2008
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                 CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
3
1
4
6
6
1
8
1
10
5
4
2
1
5
3
7
1
2
2
5
37
1
1
2","1st Time PB
1
1
1
1
2
2
1
1","1st Time Transfer
6
17
4
3
8
1
3
1
5
1
1
3
2
1
56
3
8
2
13
2
24
2
28
2
1
11
13
27
1
2
1
3
2
1
1
11
1
2
3","Readmitted
1
13
6
2
2
17
1
2
1
1
1
5
3
55
1
1
4
1
1
6
1
3
7
5
16
1
2
2
1
2
2
1
1
12","Continuing
246
475
259
101
85
191
43
72
70
261
109
58
143
38
91
2,242
158
19
359
26
562
395
270
334
65
187
242
1,493
116
140
85
890
500
1,731
158
96
202
1
162
334
247
292
142
264
71
95
2,064
41
18
69
53
181",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,1,5,1,56,1,3,46,,359,
,,,,,,2,,,50,,,34,,596,
,,,,,,1,2,,72,,,36,,381,
,,,,,,,,,24,,,14,,144,
,,,,,,,,,39,,,73,,199,
,,,,,,,3,,8,,,1,,228,
,,,,,,,,,21,,,22,,88,
,,,,,,,,,28,,,20,,125,
,,,,,,,,,9,,,20,,101,
,,,,,,,3,,19,,,14,,304,
,,,,,,,2,,11,,,12,,136,
,,,,,,,4,,21,,,15,,99,
,,,,,,,,,12,,,25,,188,
,,,,,,,6,,39,,,30,,115,
,,,,,,,1,,41,,,39,,177,
,,,,,,4,26,,450,1,,401,,"3,240",
,,,,,,,4,,54,,,21,,241,
,,,,,,,,,,,,,,19,
,,,,,,1,1,,67,,,,,437,
,,,,,,,4,,43,,,18,,93,
,,,,,,,,,37,,,,,37,
,,,,,,1,9,,201,,,39,,827,
,,,,,,,43,,44,3,,16,,503,
,,,,,,1,,,31,,,,,336,
,,,,,,,59,,86,,,12,,494,
,,,,,,,35,,60,,,2,,162,
,,,,,,,,,21,2,,15,,225,
,,,,,,,15,,22,,,13,,293,
,,,,,,1,152,,264,5,,58,,"2,013",
,,,,,,,,,,,,,,117,
,,,,,,2,20,,65,24,,192,,452,
,,,,,,1,10,,85,2,,115,,300,
,,,,,,1,5,,63,2,,42,,"1,029",
,,,,,,16,71,,157,5,1,130,,899,
,,,,,,20,106,1,370,33,4,479,,"2,797",
,,,,,,,2,,45,1,,53,,264,
,,,,,,,2,,24,,,26,,152,
,,,,,,,1,,44,3,,76,,332,
,,,,,,,,,,,,6,,8,
,,,,,,,,,76,,,91,,338,
,,,,,,,9,,125,,,105,,579,
,,,,,,,2,,162,3,,122,,547,
,,,,,,,,,,,,,,297,
,,,,,,,2,,93,2,,40,,282,
,,,,,,,4,,163,2,,93,,531,
,,,,,,,,1,39,,,19,,131,
,,,,,,,16,,95,2,,57,,271,
,,,,,,,38,1,866,13,,688,,"3,732",
,,,,,,25,1,,68,,,,,94,
,,,,,,25,1,,68,,,,,94,
,,,,,,,,,23,1,,23,,90,
,,,,,,,,,,,,,,21,
,,,,,,,,,11,,,16,,96,
,,,,,,1,,,16,,,25,,96,
,,,,,,,,,25,,,33,,58,
,,,,,,1,,,75,1,,97,,361,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,
