"Summer 2008
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal Other - Special         CLMD Populations               COFD
SRPH
Subtotal
University                 Total",Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,"1st Time in College
2
2
4
4
1
5
7
7
357
357
432","1st Time PB
1
1
6","1st Time Transfer
2
3
2
2
3
1
10
1
24
5
5
1
1
168","Readmitted
1
6
6
1
6
1
2
6
2
31
3
1
4
4
4
4
4
133","Continuing
41
188
354
178
247
11
44
250
35
303
20
395
165
2,231
415
88
1
78
37
619
457
457
563
563
12,143",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
,,,,,,1,1,2,9,1,4,10,135,62,
,,,,,,,,,1,,,,,191,
,,,,,,,,,9,,,29,,402,
,,,,,,,,,21,,,26,,233,
,,,,,,,,,11,,,45,,306,
,,,,,,,,,,,,,,12,
,,,,,,,,,2,,,2,,48,
,,,,,,,1,,7,,,8,,274,
,,,,,,,,,4,,,4,,44,
,,,,,,,1,,11,,,43,,365,
,,,,,,,,,,,,,,21,
,,,,,,,,,27,4,,34,,476,
,,,,,,,1,,15,2,,33,,219,
,,,,,,1,4,,117,7,,234,,"2,653",
,,,,,,,,,22,,,67,,516,
,,,,,,,,,92,,,129,,310,
,,,,,,,,,,,,,,1,
,,,,,,3,4,,35,,,53,,175,
,,,,,,,1,,33,,,79,,150,
,,,,,,4,1,,43,2,,36,,86,
,,,,,,7,6,,225,2,,364,,"1,238",
,,,,,,,,,2,,,4,,609,
,,,,,,,,,18,,,24,,42,
,,,,,,,,,5,,,,,5,
,,,,,,,,,5,,,1,,6,
,,,,,,,,,10,1,,27,,38,
,,,,,,,,,10,,,10,,20,
,,,,,,,,,50,1,,66,135,720,
,,,,,,,,,,,,,,925,
,,,,,,,,,,,,,,925,
,,,,,,1,,,7,,,,,8,
,,,,,,,,,3,,,1,,4,
,,,,,,5,,,5,,,,,10,
,,,,,,6,,,15,,,1,,22,
,,,,,,66,342,,"2,701",63,,"2,427",135,"18,622",
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,
