"Summer 2008
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
4
1
8
1
6
1
1
1
3
1
2
29
1
1
2
14
14
1
2
10
2
15
7
6
6
1
13
3
7
2
1
4
2
9
61","Sophomore
21
21
23
7
6
20
7
5
15
3
5
9
2
7
151
15
1
17
6
39
1
76
1
78
2
5
3
41
21
72
20
9
17
9
31
20
21
10
25
16
15
193","Junior
102
159
69
26
17
59
9
20
20
68
21
13
43
14
25
665
34
6
88
11
139
119
129
126
15
57
83
529
11
37
9
228
164
449
37
17
48
24
78
37
72
35
68
18
26
460","Senior
102
226
133
46
29
65
13
42
34
106
47
28
75
17
43
1,006
69
5
220
5
299
200
19
150
28
96
116
609
81
67
32
475
262
917
45
29
51
68
145
87
134
33
99
14
6
711","PB
2
1
1
1
1
1
1
8
1
1
3
2
5
2
2
1
1
1
1
2
10","Total
229
409
234
80
53
151
24
70
60
193
71
48
129
33
75
1,859
120
12
326
22
480
320
238
277
43
153
199
1,230
94
110
46
757
451
1,458
109
61
124
1
116
258
152
230
80
198
50
56
1,435",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,4,36,4,40,9,9,,,278,
,,,,,,,2,53,,55,21,21,,,485,
,,,,,,,3,61,,64,22,22,,,320,
,,,,,,,,6,,6,4,4,,,90,
,,,,,,,,21,,25,27,27,,,105,
,,,,,,,,9,,9,1,1,,,161,
,,,,,,,,17,,17,12,12,,,53,
,,,,,,,,20,,20,7,7,,,97,
,,,,,,,,6,,6,6,6,,,72,
,,,,,,,,10,,10,2,2,,,205,
,,,,,,,,4,,4,6,6,,,81,
,,,,,,,,9,,9,3,3,,,60,
,,,,,,,,8,,8,8,8,,,145,
,,,,,,,,27,1,28,8,8,,,69,
,,,,,,,1,31,,32,20,20,,,127,
,,,,,,,10,318,5,333,156,156,,,"2,348",
,,,,,,,,25,1,26,5,5,,,151,
,,,,,,,,,,,,,,,12,
,,,,,,,1,9,,10,,,,,336,
,,,,,,,,19,,19,5,5,,,46,
,,,,,,,,27,,27,,,,,27,
,,,,,,,1,80,1,82,10,10,,,572,
,,,,,,,,69,,69,16,16,,,405,
,,,,,,,1,14,,15,,,,,253,
,,,,,,,,115,,115,4,4,,,396,
,,,,,,,,44,,44,,,,,87,
,,,,,,,,16,,16,8,8,,,177,
,,,,,,,,33,,33,4,4,,,236,
,,,,,,,1,291,,292,32,32,,,"1,554",
,,,,,,,,,,,,,,,94,
,,,,,,,5,51,,56,131,131,,,297,
,,,,,,,1,63,,64,60,60,,,170,
,,,,,,,1,45,1,47,18,18,,,822,
,,,,,,,11,184,1,196,73,73,,,720,
,,,,,,,18,343,2,363,282,282,,,"2,103",
,,,,,,,,25,2,27,15,15,,,151,
,,,,,,,,13,1,14,11,11,,,86,
,,,,,,,,15,1,16,9,9,,,149,
,,,,,,,,,,,4,4,,,5,
,,,,,,,,9,,9,22,22,,,147,
,,,,,,,1,43,,44,12,12,,,314,
,,,,,,,,23,,23,8,8,,,183,
,,,,,,,,,,,,,,,230,
,,,,,,,,14,,14,5,5,,,99,
,,,,,,,2,49,,51,12,12,,,261,
,,,,,,,,28,,28,5,5,,,83,
,,,,,,,5,27,,32,4,4,,,92,
,,,,,,,8,246,4,258,107,107,,,"1,800",
,,,,,,,51,21,,72,,,,,72,
,,,,,,,51,21,,72,,,,,72,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,
