"Summer 2008
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal Other - Special         CLMD Populations              COFD
SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
2
1
1
1
1
7
5
2
1
8
6
6
115
115
171","Sophomore
1
1
1
6
4
1
2
2
3
3
1
4
27
13
2
15
11
11
35
35
161","Junior
1
3
1
5
4
10
15
4
8
4
8
1
18
5
17
6
100
19
2
3
24
21
21
14
14
496","Senior
5
3
1
9
4
17
19
19
19
14
16
4
28
2
39
20
201
32
6
8
1
47
37
37
1
1
832","PB
5","Total
7
1
6
3
17
9
34
40
24
30
20
28
5
49
8
61
27
335
69
8
12
5
94
75
75
165
165
1,665",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,3,2,1,2,1,1,9,9,9,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,,1,,,,,7,
,,,,,,,,1,,1,,,,,4,
,,,,,,,,2,,2,,,,,2,
,,,,,,,,6,,6,,,,,23,
,,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,,34,
,,,,,,,,,,,1,1,,,41,
,,,,,,,,3,,3,,,,,27,
,,,,,,,,1,,1,1,1,,,32,
,,,,,,,,1,,1,1,1,,,22,
,,,,,,,,1,,1,,,,,29,
,,,,,,,,1,,1,1,1,,,7,
,,,,,,,,1,,1,4,4,,,54,
,,,,,,,,,,,,,,,8,
,,,,,,,,5,,5,6,6,,,72,
,,,,,,,,5,,5,8,8,,,40,
,,,,,,,,18,,18,23,23,,,376,
,,,,,,,,1,,1,1,1,,,71,
,,,,,,,,5,,5,11,11,,,24,
,,,,,,,,1,,1,1,1,,,14,
,,,,,,,,2,,2,4,4,,,11,
,,,,,,,,1,,1,1,1,,,2,
,,,,,,,,10,,10,18,18,,,122,
,,,,,,,,,,,,,,,84,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,3,3,,,3,
,,,,,,,,2,,2,3,3,9,9,89,
,,,,,,,,,,,,,,,165,
,,,,,,,,,,,,,,,165,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,,,3,,,,,3,
,,,,,,,3,1,,4,,,,,4,
,,,,,,,12,183,,196,178,178,9,9,"2,048",
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,
