Summer 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,15,16,2,1,1,3,3,1,1,1,18,18,2,3,40,39,79,
,COMG,4,6,,,,,,,,,18,41,,,22,47,69,
,COSC,28,209,,3,,17,,3,,,,,,,28,236,264,
,COSL,10,79,1,1,2,7,,1,,1,1,1,,,14,90,104,
,ENDL,28,38,,3,3,8,2,3,1,,3,3,,,37,55,92,
,ENDS,29,25,1,1,3,6,3,1,,1,,,,,36,34,70,
,LAND,1,7,,1,,2,,1,,,3,1,,,4,12,16,
,LANL,5,7,,,1,1,,,,,,,,,6,8,14,
,LDEV,2,10,,1,,,,,,,,6,,,2,17,19,
,URPL,2,,,,1,,,,,,6,9,,,9,9,18,
,URSC,4,8,1,,,1,,,,1,4,7,,,9,17,26,
,USAR,3,9,,,1,4,1,,,1,,,,,5,14,19,
,VIZA,5,22,1,,1,4,,1,,,,3,,,7,30,37,
,Subtotal,136,436,6,11,13,53,9,11,2,5,53,89,,3,219,608,827,
Business,ACCT,227,178,4,3,27,21,16,11,2,1,5,6,,,283,220,503,
Admin,AGBU,2,2,,,,1,,,,,,,,,2,3,5,
,BUAD,102,125,10,4,14,9,12,4,3,1,9,10,,,150,153,303,
,FINC,140,216,7,5,14,22,10,15,1,1,4,10,2,2,178,271,449,
,INFO,15,28,2,1,1,12,,5,,,,3,,1,18,50,68,
,MGMT,87,90,3,1,17,11,5,2,,2,3,3,,1,115,110,225,
,MISY,23,21,,,,3,,1,,,20,26,,,43,51,94,
,MKTG,186,50,4,2,19,7,5,6,,,6,8,,,220,73,293,
,MLER,9,31,1,,1,1,1,,,,,,,1,12,33,45,
,USBU,6,16,,3,,1,,1,,,,1,,,6,22,28,
,Subtotal,797,757,31,19,93,88,49,45,6,5,47,67,4,5,"1,027",986,2013,
Education,CPSY,10,5,4,2,2,2,,1,,,1,,1,,18,10,28,
,EDAD,77,55,9,14,26,15,1,,,,4,,1,1,118,85,203,
,EDCI,215,54,36,10,25,11,2,1,1,2,17,5,1,,297,83,380,
,EDHL,103,11,5,2,10,12,8,2,,,2,,1,,129,27,156,
,EDIS,116,9,8,4,14,,4,,1,,,,1,,144,13,157,
,EDKI,98,55,5,7,11,13,1,2,,,,,,1,115,78,193,
,EDSM,24,70,3,9,5,6,,,1,,,,,,33,85,118,
,EDTC,8,4,,,2,,,,,,5,,,,15,4,19,
,EHRD,38,17,13,2,13,5,,4,,,8,1,2,,74,29,103,
,EPSY,66,9,8,2,15,7,2,,,,11,6,,1,102,25,127,
,HEED,8,2,7,,1,,2,,1,,1,2,,,20,4,24,
,HLTH,80,9,7,1,11,2,,,1,,,,,,99,12,111,
,HRDL,27,11,4,1,3,4,3,,,,,2,,,37,18,55,
,HRDV,41,6,2,1,4,2,,1,,,,,,,47,10,57,
,INST,361,8,5,3,47,7,7,1,1,,3,,1,,425,19,444,
,ISNC,57,37,4,4,6,7,,1,1,,,,,,68,49,117,
,KINE,121,92,2,,4,9,2,3,,1,4,19,,2,133,126,259,
,PHED,3,1,,,,1,,,,,1,,,,4,2,6,
,SPMT,51,94,2,3,3,5,,2,,2,,,,,56,106,162,
,SPSY,16,6,5,,6,3,3,,,,1,,,,31,9,40,
,TCMG,1,11,,,1,2,,2,,,,,,,2,15,17,
,TCML,2,11,,1,,1,1,1,,,,,,,3,14,17,
,TECR,3,,,,,1,,,,,,,,,3,1,4,
,Subtotal,"1,526",577,129,66,209,115,36,21,7,5,58,35,8,5,"1,973",824,2797,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,,,,
