"Summer 2008
Head Count      Total
Gender              Female Male
Ethnicity           White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age      <18
Categories        18-21
22-25
26-30
31-39
40+
College             Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations Enrollment       1st Time in College
Status                1st Time PB
1st Time Graduate 1st Time Transfer Readmitted Continuing
Tuition             Resident Tuition
Status               Non-Resident Tuition Tuition Exemption/Waiver
Residency         Texas Resident
Status               Non-TX, US Resident
Non-TX, Non-US Resident
SCH                  < 6 SCH
Categories        6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                Less Than Half Time
TAMU              Half-Time
Full-Time",Undergraduate,,Masters,,PhD,Professional,Grand Total,,
,Off-campus,Dorm,Off-campus,Dorm,Off-campus,Off-campus,Off-campus,Dorm,
,,(On-campus),,(On-campus),,,,(On-campus),
,"12,281",601,"3,104",7,"2,494",135,"18,014",608,
,"5,994",246,"1,336",2,"1,031",105,"8,466",248,
,"6,287",355,"1,768",5,"1,463",30,"9,548",360,
,"9,337",335,"1,678",4,909,116,"12,040",339,
,539,59,91,,136,1,767,59,
,"1,514",151,195,1,178,9,"1,896",152,
,507,35,76,,55,7,645,35,
,70,4,6,,12,1,89,4,
,225,14,"1,039",2,"1,174",,"2,438",16,
,89,3,19,,30,1,139,3,
,3,2,,,,,3,2,
,"6,465",518,21,,,,"6,486",518,
,"5,317",73,"1,786",6,152,65,"7,320",79,
,348,7,855,1,"1,075",61,"2,339",8,
,102,,307,,927,7,"1,343",,
,46,1,135,,340,2,523,1,
,"2,306",52,479,1,402,,"3,187",53,
,563,14,211,,39,,813,14,
,"1,508",25,416,1,63,,"1,987",26,
,"1,770",14,496,1,516,,"2,782",15,
,"2,015",111,901,4,701,,"3,617",115,
,,,94,,,,94,,
,174,13,76,,98,,348,13,
,"2,240",50,122,,241,,"2,603",50,
,609,25,238,,366,,"1,213",25,
,456,12,50,,67,135,708,12,
,640,285,,,,,640,285,
,,,21,,1,,22,,
,181,251,,,,,181,251,
,5,1,66,,,,71,1,
,,,338,4,63,,401,4,
,163,5,,,,,163,5,
,129,4,2,,4,,135,4,
,"11,803",340,"2,698",3,"2,427",135,"17,063",343,
,"11,579",558,"1,648",4,882,124,"14,233",562,
,352,19,390,,218,1,961,19,
,350,24,"1,066",3,"1,394",10,"2,820",27,
,"11,656",558,"1,688",4,926,125,"14,395",562,
,397,28,372,1,388,10,"1,167",29,
,228,15,"1,044",2,"1,180",,"2,452",17,
,"4,250",63,"1,206",1,692,14,"6,162",64,
,"4,911",394,"1,416",3,"1,694",119,"8,140",397,
,"1,786",82,293,3,87,1,"2,167",85,
,"1,198",56,180,,19,1,"1,398",56,
,116,5,8,,2,,126,5,
,20,1,1,,,,21,1,
,881,11,347,1,377,1,"1,606",12,
,"4,236",92,361,,88,1,"4,686",92,
,27,1,11,,2,,40,1,
,"7,137",497,"2,385",6,"2,027",133,"11,682",503,
"Prepared by OISP, 06 Aug 08",,,,,,,,,
