Office of Institutional Studies and Planning,,,,,
for the Corps of Cadets,,,,,
Summer 2008,,,,,
Official Combined Summer Data – Not Certified,,,,,
Summer 2008,,Not in Corps,In Corps,Grand Total,
Head Count,Total,"17,972",650,"18,622",
Gender,Female,"8,628",86,"8,714",
,Male,"9,344",564,"9,908",
Ethnicity,White,"11,861",518,"12,379",
,Black,808,18,826,
,Hispanic,"1,962",86,"2,048",
,Asian,664,16,680,
,American Indian,87,6,93,
,International,"2,449",5,"2,454",
,Unknown/Other,141,1,142,
TAMU Age,<18,5,,5,
Categories,18-21,"6,698",306,"7,004",
,22-25,"7,102",297,"7,399",
,26-30,"2,308",39,"2,347",
,31-39,"1,337",6,"1,343",
,40+,522,2,524,
College,Agriculture,"3,111",129,"3,240",
,Architecture,779,48,827,
,Business Admin,"1,964",49,"2,013",
,Education,"2,740",57,"2,797",
,Engineering,"3,604",128,"3,732",
,G. Bush School of Govt,90,4,94,
,Geosciences,343,18,361,
,Liberal Arts,"2,504",149,"2,653",
,Science,"1,226",12,"1,238",
,Veterinary Medicine,710,10,720,
,General Studies,879,46,925,
,Other - Special Populations,22,,22,
Enrollment,1st Time in College,420,12,432,
Status,1st Time PB,70,2,72,
,1st Time Graduate,396,9,405,
,1st Time Transfer,167,1,168,
,Readmitted,134,5,139,
,Continuing,"16,785",621,"17,406",
Tuition,Resident Tuition,"14,235",560,"14,795",
Status,Non-Resident Tuition,973,7,980,
,Tuition Exemption/Waiver,"2,764",83,"2,847",
Residency,Texas Resident,"14,389",568,"14,957",
Status,"Non-TX, US Resident","1,119",77,"1,196",
,"Non-TX, Non-US Resident","2,464",5,"2,469",
SCH,< 6 SCH,"6,040",186,"6,226",
Categories,6-8 SCH,"8,258",279,"8,537",
,9-11 SCH,"2,159",93,"2,252",
,12-14 SCH,"1,374",80,"1,454",
,15-17 SCH,121,10,131,
,>17 SCH,20,2,22,
Ft/Pt:,Less Than Half Time,"1,594",24,"1,618",
TAMU,Half-Time,"4,589",189,"4,778",
Status,Three-Quarter Time,38,3,41,
,Full-Time,"11,751",434,"12,185",
"Prepared by OISP, 06 Aug 08",,,,,
