"Fall 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             SABX
SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
39
11
10
31
91
12
73
103
27
55
6
10
68
4
89
8
103
21
579
273
57
75
34
439
407
407
1,932
1,932
6,441","Sophomore
23
13
32
14
82
22
94
152
35
117
7
13
114
7
152
18
209
36
976
221
23
1
32
13
290
279
279
1,483
1,483
6,338","Junior
21
25
36
52
134
29
125
231
108
142
7
11
165
20
171
12
255
58
1,334
220
34
4
52
16
326
248
248
209
209
6,902","Senior
30
24
64
73
191
53
147
293
142
173
10
25
227
35
219
21
295
107
1,747
246
59
7
73
24
409
246
246
1
1
9,261","PB
3
1
4
1
1
2
1
1
64","Total
116
73
142
171
502
116
439
779
312
487
31
59
574
66
632
59
862
222
4,638
961
173
12
232
87
1,465
1,180
1,180
3,625
3,625
29,006",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,84,150,234,7,7,434,434,234,
,,,,,,,84,150,234,,,,,234,
,,,,,,,,17,17,,,,,140,
,,,,,,,,7,7,,,,,80,
,,,,,,,1,34,35,14,14,,,191,
,,,,,,,2,40,42,14,14,,,227,
,,,,,,,,23,23,20,20,,,43,
,,,,,,,3,121,124,55,55,,,681,
,,,,,,,2,51,53,39,39,,,208,
,,,,,,,,1,1,,,,,440,
,,,,,,,1,9,10,29,29,,,818,
,,,,,,,,21,21,5,5,,,338,
,,,,,,,2,25,27,45,45,,,559,
,,,,,,,,,,,,,,31,
,,,,,,,,4,4,10,10,,,73,
,,,,,,,2,24,26,35,35,,,635,
,,,,,,,1,12,13,5,5,,,84,
,,,,,,,,11,11,19,19,,,662,
,,,,,,,,,,,,,,59,
,,,,,,,,26,26,31,31,,,919,
,,,,,,,2,10,12,25,25,,,259,
,,,,,,,10,194,204,243,243,,,"5,085",
,,,,,,,1,20,21,37,37,,,"1,019",
,,,,,,,,72,72,36,36,,,281,
,,,,,,,,,,,,,,12,
,,,,,,,3,34,37,15,15,,,284,
,,,,,,,,22,22,28,28,,,137,
,,,,,,,13,43,56,17,17,,,73,
,,,,,,,17,191,208,133,133,,,"1,806",
,,,,,,,1,17,18,2,2,,,"1,634",
,,,,,,,,7,7,11,11,,,18,
,,,,,,,,4,4,,,,,4,
,,,,,,,,1,1,,,,,1,
,,,,,,,,12,12,14,14,,,26,
,,,,,,,1,10,11,4,4,,,15,
,,,,,,,2,51,53,31,31,434,434,"1,698",
,,,,,,,,,,,,,,"3,625",
,,,,,,,,,,,,,,"3,625",
,,,,,,,5,,5,,,,,5,
,,,,,,,6,,6,,,,,6,
,,,,,,,11,,11,,,,,11,
,,,,,,,182,"2,647","2,829","1,297","1,297",434,434,"33,566",
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,
