"Fall 2009
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CSCE CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
3","Sophomore
1
1
1
3
2
2
2
1
2
2
7","Junior
1
1
1
1
1
2
2
1
10
1
1
2
1
1
1
3
5
4
9
1
1
2","Senior
2
2
1
1
1
1
1
1
1
11
2
1
3
3
2
5
2
1
2
2
7
1
1
1
2
5
1
3
14",PB,"Total
4
4
1
3
2
3
1
3
1
3
25
3
2
5
1
3
3
1
8
7
1
4
6
18
1
2
3
1
1
2
3
2
7
1
3
26",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,1,1,,,5,
,,,,,,,,,,1,1,,,7,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,1,1,,,5,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,1,
,,,,,,,,2,2,,,,,2,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,4,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,2,2,,,5,
,,,,,,,,,,1,1,,,2,
,,,,,,,,1,1,,,,,4,
,,,,,,,,10,10,9,9,,,44,
,,,,,,,,2,2,,,,,5,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,1,1,,,3,
,,,,,,,,1,1,,,,,1,
,,,,,,,,5,5,1,1,,,11,
,,,,,,,,4,4,3,3,,,7,
,,,,,,,,23,23,,,,,24,
,,,,,,,,2,2,1,1,,,6,
,,,,,,,,,,,,,,3,
,,,,,,,,,,2,2,,,3,
,,,,,,,,,,1,1,,,1,
,,,,,,,,29,29,7,7,,,44,
,,,,,,,,6,6,10,10,,,23,
,,,,,,,,,1,2,2,,,4,
,,,,,,,,,,2,2,,,6,
,,,,,,,1,5,6,5,5,,,17,
,,,,,,,2,11,13,19,19,,,50,
,,,,,,,,3,3,,,,,4,
,,,,,,,,1,1,,,,,3,
,,,,,,,,2,2,1,1,,,6,
,,,,,,,,,,,,,,1,
,,,,,,,,,,3,3,,,4,
,,,,,,,,4,4,,,,,6,
,,,,,,,,,,1,1,,,4,
,,,,,,,,1,1,,,,,3,
,,,,,,,,2,2,1,1,,,10,
,,,,,,,,2,2,,,,,3,
,,,,,,,,3,3,,,,,6,
,,,,,,,,18,18,6,6,,,50,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,
