"Fall 2009
Headcount Total
TAMU Age                    <18
Categories                       18-21
22-25
26-30
Classification                  Freshman Sophomore Junior Senior
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,,Hispanic,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,,M,,Tot,,
,,58,,81,139,,2,,3,5,,25,26,51,,3,,4,7,,,,,,,,,,,88,,114,,202,
,,58,,80,138,,2,,3,5,,25,26,51,,3,,4,7,,,,,,,,,,,88,,113,,201,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,56,,77,133,,2,,3,5,,22,26,48,,3,,4,7,,,,,,,,,,,83,,110,,193,
,,2,,4,6,,,,,,,2,,2,,,,,,,,,,,,,,,,4,,4,,8,
,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,1,
,,57,,76,133,,2,,2,4,,25,26,51,,3,,3,6,,,,,,,,,,,87,,107,,194,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,,,5,5,,,,1,1,,,,,,,,1,1,,,,,,,,,,,,,7,,7,
,,57,,80,137,,2,,2,4,,25,26,51,,3,,3,6,,,,,,,,,,,87,,111,,198,
,,1,,1,2,,,,1,1,,,,,,,,1,1,,,,,,,,,,,1,,3,,4,
,,49,,64,113,,1,,2,3,,22,21,43,,3,,3,6,,,,,,,,,,,75,,90,,165,
,,9,,17,26,,1,,1,2,,3,5,8,,,,1,1,,,,,,,,,,,13,,24,,37,
,,58,,81,139,,2,,3,5,,25,26,51,,3,,4,7,,,,,,,,,,,88,,114,,202,
,,18,,49,67,,,,1,1,,2,5,7,,1,,3,4,,,,,,,,,,,21,,58,,79,
,,40,,32,72,,2,,2,4,,23,21,44,,2,,1,3,,,,,,,,,,,67,,56,,123,
,,48,,68,116,,1,,2,3,,8,11,19,,2,,3,5,,,,,,,,,,,59,,84,,143,
,,10,,13,23,,1,,1,2,,17,15,32,,1,,1,2,,,,,,,,,,,29,,30,,59,
,,18,,21,39,,,,1,1,,4,7,11,,1,,,1,,,,,,,,,,,23,,29,,52,
,,40,,60,100,,2,,2,4,,21,19,40,,2,,4,6,,,,,,,,,,,65,,85,,150,
"Prepared by OISP, 14 Dec 09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
