"Spring 2009
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special        CLMD Populations             COFD GACD
MARB MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,118,-11.3%,1,0.0%,23,-8.0%,,,,1,100.0%,24,0.0%,,3,0.0%,170,-8.6%,
,56,27.3%,,,12,300.0%,4,100.0%,,,,1,0.0%,,0,-100.0%,73,43.1%,
,176,22.2%,4,33.3%,18,50.0%,7,16.7%,,1,-50.0%,30,25.0%,,1,0.0%,237,23.4%,
,204,13.3%,4,100.0%,18,80.0%,3,-40.0%,,2,0.0%,58,41.5%,,0,-100.0%,289,19.9%,
,45,21.6%,0,-100.0%,3,50.0%,1,0.0%,,,,25,-7.4%,,,,74,8.8%,
,599,11.3%,9,28.6%,74,42.3%,15,7.1%,,4,0.0%,138,17.9%,,4,-33.3%,843,14.2%,
,174,-1.1%,2,-50.0%,20,-25.9%,7,-12.5%,,2,-33.3%,12,-25.0%,,4,0.0%,221,-7.1%,
,381,8.5%,15,50.0%,109,38.0%,14,-22.2%,,6,50.0%,6,-14.3%,,3,50.0%,534,13.4%,
,863,-2.7%,29,20.8%,110,27.9%,14,0.0%,,9,12.5%,15,25.0%,,5,66.7%,"1,045",1.1%,
,302,-13.7%,4,0.0%,38,-42.4%,39,44.4%,,1,-66.7%,100,7.5%,,1,0.0%,485,-10.8%,
,553,-5.8%,27,-15.6%,82,5.1%,22,-4.3%,,5,0.0%,28,0.0%,,,,717,-4.8%,
,29,20.8%,0,-100.0%,5,66.7%,2,100.0%,,1,-50.0%,1,-50.0%,,1,100.0%,39,11.4%,
,71,22.4%,2,100.0%,59,5.4%,1,-50.0%,,,,6,100.0%,,,,139,16.8%,
,610,-1.0%,11,-31.3%,89,8.5%,8,-20.0%,,4,-33.3%,3,50.0%,,4,-20.0%,729,-1.1%,
,96,4.3%,1,100.0%,14,40.0%,1,-66.7%,,1,-50.0%,0,-100.0%,,4,100.0%,117,6.4%,
,645,-1.2%,47,17.5%,135,3.8%,29,-3.3%,,5,400.0%,11,-8.3%,,5,25.0%,877,0.8%,
,57,21.3%,4,0.0%,19,-9.5%,1,0.0%,,,,,,,,,81,11.0%,
,870,4.3%,57,18.8%,209,17.4%,55,19.6%,,8,0.0%,8,0.0%,,7,0.0%,"1,214",7.5%,
,262,-3.7%,46,7.0%,90,23.3%,17,-5.6%,,5,66.7%,13,44.4%,,5,66.7%,438,4.0%,
,"4,913",-0.7%,245,7.5%,979,10.1%,210,4.5%,,47,4.4%,203,5.2%,,39,25.8%,"6,636",1.6%,
,930,-6.3%,50,-3.8%,247,12.8%,212,9.8%,,9,0.0%,48,26.3%,,2,100.0%,"1,498",-0.4%,
,252,-8.4%,13,-13.3%,45,-8.2%,30,-3.2%,,3,-50.0%,113,6.6%,,3,0.0%,459,-5.4%,
,3,200.0%,2,100.0%,,,,,,,,,,,,,5,400.0%,
,260,0.8%,6,-14.3%,47,34.3%,16,23.1%,,1,0.0%,73,28.1%,,,,403,8.6%,
,122,1.7%,4,100.0%,26,44.4%,15,-21.1%,,3,0.0%,73,-6.4%,,1,0.0%,244,1.2%,
,67,36.7%,2,0.0%,5,150.0%,5,0.0%,,,,60,-3.2%,,0,-100.0%,139,14.9%,
,"1,634",-3.6%,77,-1.3%,370,14.6%,278,6.5%,,16,-15.8%,367,7.6%,,6,0.0%,"2,748",0.9%,
,"1,531",-5.0%,43,-10.4%,314,16.3%,149,-13.4%,,8,-11.1%,8,166.7%,,7,-12.5%,"2,060",-2.9%,
,22,-4.3%,1,100.0%,,,1,0.0%,,0,-100.0%,20,81.8%,,1,100.0%,45,25.0%,
,4,0.0%,,,,,,,,,,,,,,,4,0.0%,
,1,0.0%,,,1,0.0%,,,,,,6,100.0%,,,,8,60.0%,
,24,0.0%,2,0.0%,3,-40.0%,2,0.0%,,,,10,0.0%,,1,0.0%,42,-4.5%,
,14,40.0%,1,0.0%,,,1,0.0%,,1,100.0%,7,-12.5%,,0,-100.0%,24,14.3%,
,"1,596",-4.6%,47,-7.8%,318,15.2%,153,-13.1%,,9,-10.0%,51,45.7%,,9,-10.0%,"2,183",-2.2%,
,"3,125",9.6%,204,23.6%,652,19.4%,202,8.6%,,28,0.0%,45,66.7%,,7,250.0%,"4,263",12.1%,
,"3,125",9.6%,204,23.6%,652,19.4%,202,8.6%,,28,0.0%,45,66.7%,,7,250.0%,"4,263",12.1%,
,3,200.0%,,,,,0,-100.0%,,,,4,-60.0%,,1,-50.0%,8,-42.9%,
,0,-100.0%,0,-100.0%,0,-100.0%,0,-100.0%,,,,0,-100.0%,,0,-100.0%,0,-100.0%,
,,,,,,,0,-100.0%,,,,,,,,,0,-100.0%,
,1,-50.0%,,,1,100.0%,,,,,,,,,,,2,0.0%,
,1,0.0%,,,,,,,,,,,,,,,1,0.0%,
,1,0.0%,,,0,-100.0%,0,-100.0%,,,,42,-16.0%,,1,0.0%,44,-18.5%,
,6,-57.1%,1,-50.0%,1,0.0%,1,0.0%,,,,1,-66.7%,,1,100.0%,11,-47.6%,
,12,-91.9%,1,-88.9%,2,-87.5%,1,-90.0%,,,,47,-78.0%,,3,-40.0%,66,-83.6%,
,"31,602",-0.3%,"1,446",8.0%,"5,548",11.0%,"1,888",6.1%,,245,4.3%,"3,809",7.8%,,182,13.0%,"44,720",2.2%,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,,
