"Spring 2009
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
3
2
9
2
1
1
4
12
12
5
5
6
9
7
6
7
10
2
2
6
5
5
65","Sophomore
1
1
1
6
1
1
4
1
2
1
2
21
1
2
2
5
46
46
1
9
3
13
4
14
24
13
8
10
4
5
6
4
2
94","Junior
2
2
3
6
3
14
6
1
1
38
4
3
1
8
24
15
17
10
4
4
74
3
1
13
7
24
7
11
19
4
12
25
16
9
15
6
14
138","Senior
2
1
4
6
22
2
3
1
2
7
5
2
2
1
60
9
3
5
2
19
22
1
15
7
7
10
62
1
9
1
14
12
37
6
17
17
10
12
19
13
1
10
2
10
117","PB
1
1
2
1
1","Total
7
4
7
11
37
6
3
2
2
25
13
1
5
3
4
130
16
3
11
6
36
46
74
32
17
11
14
194
1
13
2
36
27
79
23
51
68
33
39
64
35
17
37
17
31
415",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,1,1,,,10,
,,,,,,,,1,1,,,,,5,
,,,,,,,,,,,,,,7,
,,,,,,,,,,1,1,,,12,
,,,,,,,,,,,,,,37,
,,,,,,,,1,1,,,,,7,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,2,2,1,1,,,28,
,,,,,,,,,,,,,,13,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,5,
,,,,,,,,2,2,,,,,5,
,,,,,,,,1,1,,,,,5,
,,,,,,,,9,9,3,3,,,142,
,,,,,,,,4,5,2,2,,,23,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,12,
,,,,,,,,1,1,1,1,,,8,
,,,,,,,,5,5,,,,,5,
,,,,,,,1,11,12,3,3,,,51,
,,,,,,,,9,9,2,2,,,57,
,,,,,,,,16,16,,,,,90,
,,,,,,,,12,12,1,1,,,45,
,,,,,,,,1,1,,,,,18,
,,,,,,,,2,2,1,1,,,14,
,,,,,,,,,,,,,,14,
,,,,,,,,40,40,4,4,,,238,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,4,4,,,20,
,,,,,,,,5,5,7,7,,,14,
,,,,,,,,4,4,2,2,,,42,
,,,,,,,,3,3,2,2,,,32,
,,,,,,,,15,15,15,15,,,109,
,,,,,,,,1,1,,,,,24,
,,,,,,,,5,5,3,3,,,59,
,,,,,,,,,,,,,,68,
,,,,,,,,5,5,4,4,,,42,
,,,,,,,,7,7,4,4,,,50,
,,,,,,,,7,7,5,5,,,76,
,,,,,,,,,,,,,,35,
,,,,,,,,3,3,,,,,20,
,,,,,,,,8,8,2,2,,,47,
,,,,,,,,4,4,,,,,21,
,,,,,,,,11,11,,,,,42,
,,,,,,,,51,51,18,18,,,484,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,
