"Spring 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARB
MARS SABX SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
7
8
1
1
2
1
1
2
1
1
30
30
12
12
106","Sophomore
2
2
2
3
1
2
1
9
2
3
5
13
13
7
7
109","Junior
3
3
2
1
3
1
1
1
1
1
11
3
1
2
2
8
1
1
2
2
12
12
164","Senior
1
1
3
5
1
2
1
5
1
1
1
12
3
1
4
1
1
8
8
190","PB
1
1
5","Total
1
1
1
16
19
1
6
3
11
3
1
1
1
4
3
34
9
1
7
2
19
3
3
45
45
39
39
574",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,22,23,18,18,,,23,
,,,,,,,1,22,23,,,,,23,
,,,,,,,,5,5,,,,,24,
,,,,,,,,,,,,,,1,
,,,,,,,1,9,10,19,19,,,30,
,,,,,,,,23,23,19,19,,,58,
,,,,,,,,8,8,17,17,,,25,
,,,,,,,1,45,46,73,73,,,138,
,,,,,,,2,3,5,6,6,,,12,
,,,,,,,,,,,,,,6,
,,,,,,,1,4,5,7,7,,,15,
,,,,,,,1,43,44,45,45,,,100,
,,,,,,,,1,1,24,24,,,28,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,2,2,,,6,
,,,,,,,,1,1,2,2,,,3,
,,,,,,,,3,3,7,7,,,11,
,,,,,,,,1,1,3,3,,,8,
,,,,,,,,2,2,8,8,,,13,
,,,,,,,4,61,65,104,104,,,203,
,,,,,,,,13,13,26,26,,,48,
,,,,,,,,58,58,54,54,,,113,
,,,,,,,,22,22,44,44,,,73,
,,,,,,,,20,20,51,51,,,73,
,,,,,,,,24,24,36,36,,,60,
,,,,,,,,137,137,211,211,,,367,
,,,,,,,,2,2,3,3,,,8,
,,,,,,,,11,11,9,9,,,20,
,,,,,,,,5,5,1,1,,,6,
,,,,,,,,5,5,5,5,,,10,
,,,,,,,,1,1,6,6,,,7,
,,,,,,,,24,24,24,24,,,51,
,,,,,,,,,,,,,,45,
,,,,,,,,,,,,,,45,
,,,,,,,4,,4,,,,,4,
,,,,,,,3,,3,,,,,42,
,,,,,,,1,,1,,,,,1,
,,,,,,,8,,8,,,,,47,
,,,,,,,17,"1,786","1,803","1,432","1,432",,,"3,809",
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,
