Spring 2009,,Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Architecture,ARCH,2,1,13,2,363,4,4,1,104,1,2,41,,150,
,COMG,,,,,,,,,103,,,,,107,
,COSC,,,,,,,,,,,,,,365,
,COSL,,,,3,234,,,,,,,,,252,
,ENDL,1,,3,1,240,,,,,,,,,245,
,ENDS,,,,,275,,,,,,,,,275,
,LAND,,,,,84,,1,,26,,,,,111,
,LANL,1,,2,1,60,,,,,,,,,64,
,LDEV,,,,,,,3,,29,,,,,32,
,URPL,,,,,,,1,,39,,,,,40,
,URSC,,,1,,49,,,,2,1,,42,,95,
,USAR,,,,,49,,,,,,,,,49,
,VIZA,,,,,,,1,,61,,,,,63,
,Subtotal,4,,19,7,"1,354",4,10,1,364,2,,83,,"1,848",
Business,ACCT,,,,,631,,24,,94,,,17,,766,
Admin,AGBU,,,,,8,,,,,,,,,8,
,BHNR,,,,,32,,,,,,,,,32,
,BUAD,8,,,3,"1,522",,,1,98,,,,,"1,632",
,BUAG,,,,,8,,,,,,,,,8,
,EMBA,,,,,,,,,92,,,,,92,
,FINC,,,,2,747,,54,,101,,,15,,919,
,INFO,,,,,207,,,,1,,,4,,212,
,MGMT,,,,2,316,,1,,46,,,14,,379,
,MISY,,,,,,,13,,100,,,,,113,
,MKTG,,,,2,472,,6,,39,,,10,,529,
,MLER,,,,,,,17,,37,,,,,54,
,USBU,,,,,92,,,,,,,,,92,
,Subtotal,8,,,9,"4,035",,115,1,608,,,60,,"4,836",
Education,CPSY,,,,,,,,,,,,36,,36,
,EDAD,,,,,,1,5,,68,1,,185,,262,
,EDCI,,,,,,3,52,1,196,16,1,176,,445,
,EDHL,1,,9,2,464,,,,,,,,,476,
,EDIS,1,,54,1,606,,,,,,,,,662,
,EDKI,2,,14,3,611,,,,,,,,,630,
,EDSM,,,6,,238,,,,,,,,,245,
,EDTC,,,,,,,3,,21,,,,,24,
,EHRD,,,,,,5,17,1,79,3,1,85,,191,
,EPSY,,,,,,,1,,110,1,,75,,187,
,HEED,,,,,,,,,11,,,14,,25,
,HLTH,,,,,166,,,,,,,,,166,
,HRDL,,,6,1,114,,,,,,,,,121,
,HRDV,,,,,106,,,,,,,,,106,
,INST,,,2,2,858,,,,,,,,,862,
,ISNC,,,,,36,,,,,,,,,36,
,KINE,,1,,2,220,2,12,1,55,2,,40,,335,
,NUTR,,,,,,,,,2,,,1,,3,
,PHED,,,,,,,,1,2,,,,,3,
,SPMT,,,,,223,,,,,,,,,223,
,SPSY,,,,,,,,,,,,43,,43,
,TCMG,,,,,23,,,,,,,,,23,
,TCML,,,4,,24,,,,,,,,,28,
,TECR,,,,,19,,,,,,,,,19,
,USEH,,,,,2,,,,,,,,,2,
,Subtotal,4,2,95,11,"3,710",11,90,4,544,23,4,655,,"5,153",
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,
