"Spring 2009
Headcount Total
TAMU Age                     18-21
Categories                       22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                  Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status             Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories              < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                    Yes
First Generation              No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,,M,,Tot,,
,,22,,26,48,,1,,1,,2,,6,8,,1,,2,3,2,,2,1,1,2,,,,,29,,35,,64,
,,22,,22,44,,1,,1,,1,,4,5,,,,2,2,2,,2,1,1,2,,,,,27,,29,,56,
,,,,2,2,,,,,,1,,2,3,,1,,,1,,,,,,,,,,,2,,4,,6,
,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,,,7,7,,,,,,,,,,,,,,,,,,,1,1,,,,,,,8,,8,
,,22,,19,41,,1,,1,,2,,6,8,,1,,2,3,2,,2,,,,,,,,28,,27,,55,
,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,1,
,,20,,26,46,,1,,1,,1,,6,7,,1,,2,3,2,,2,,1,1,,,,,25,,35,,60,
,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,
,,,,,,,,,,,1,,,1,,,,,,,,,1,,1,,,,,2,,,,2,
,,20,,26,46,,1,,1,,2,,6,8,,1,,2,3,2,,2,,,,,,,,26,,34,,60,
,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,
,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,1,,1,,2,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,2,,,2,,,,,,1,,,1,,,,,,,,,,,,,,,,3,,,,3,
,,16,,17,33,,1,,1,,,,5,5,,,,2,2,2,,2,1,1,2,,,,,20,,25,,45,
,,4,,8,12,,,,,,1,,1,2,,1,,,1,,,,,,,,,,,6,,9,,15,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,2,,,2,,,,,,1,,,1,,,,,,,,,,,,,,,,3,,,,3,
,,20,,25,45,,1,,1,,1,,6,7,,1,,2,3,2,,2,1,1,2,,,,,26,,34,,60,
,,21,,24,45,,1,,1,,1,,6,7,,1,,2,3,2,,2,1,1,2,,,,,27,,33,,60,
,,1,,2,3,,,,,,1,,,1,,,,,,,,,,,,,,,,2,,2,,4,
,,19,,15,34,,,,,,1,,4,5,,1,,2,3,2,,2,,1,1,,,,,23,,22,,45,
,,,,2,2,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,2,,3,
,,3,,9,12,,1,,1,,1,,2,3,,,,,,,,,,,,,,,,5,,11,,16,
,,20,,25,45,,1,,1,,1,,4,5,,,,2,2,2,,2,,1,1,,,,,24,,32,,56,
,,2,,1,3,,,,,,1,,2,3,,1,,,1,,,,1,,1,,,,,5,,3,,8,
"Prepared by OISP, 01 Apr 09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
