"Summer 2009
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal",Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,"1st Time in College
1
1
1
1
1
1
6
5
5
9
1
10
3
6
2
4
1
3
2
4
2
7
34","1st Time PB
2
2","1st Time Transfer
16
13
6
2
1
1
1
2
1
2
1
3
4
1
2
56
13
1
1
1
16
15
15
1
1
7
7
16
1
3
4
1
2
1
12
1
1","Readmitted
11
1
2
1
4
19
1
1
3
2
2
7
1
2
9
2
14
1
4
4
1
1
11
2
2","Continuing
271
492
218
90
73
61
46
69
53
254
103
40
134
33
94
2,031
120
43
286
57
506
417
317
308
98
156
226
1,522
2
220
73
834
404
1,533
153
97
232
1
157
365
216
290
201
324
89
108
2,233
29
27
58
79
193",1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Readmitted,Continuing,,
,,,,,,1,3,1,51,1,1,55,,,397,
,,,,,,,3,,50,,,31,,,605,
,,,,,,,3,,64,2,,24,,,319,
,,,,,,,,,36,1,,11,,,141,
,,,,,,,,,28,,,74,,,177,
,,,,,,,2,,13,,,1,,,80,
,,,,,,,,,17,,,24,,,88,
,,,,,,,1,,18,1,,20,,,111,
,,,,,,,2,,13,,,17,,,87,
,,,,,,,1,,28,,,15,,,301,
,,,,,,1,,,15,,,15,,,135,
,,,,,,,,,23,,,11,,,78,
,,,,,,,1,,13,,,15,,,171,
,,,,,,,3,,53,,,37,,,127,
,,,,,,,2,,35,1,,39,,,173,
,,,,,,2,21,,457,6,1,389,,,"2,990",
,,,,,,,11,,44,,,23,,,211,
,,,,,,,,,,,,,,,43,
,,,,,,,10,,40,,,,,,338,
,,,,,,,3,,44,,,13,,,118,
,,,,,,,,,35,,,,,,36,
,,,,,,,24,,163,,,36,,,746,
,,,,,,,65,,31,3,,11,,,527,
,,,,,,,,,36,,,,,,376,
,,,,,,,56,,86,,,15,,,467,
,,,,,,,17,,36,,,1,,,152,
,,,,,,,4,,9,,,14,,,185,
,,,,,,,15,,25,,,9,,,275,
,,,,,,,157,,223,3,,50,,,"1,982",
,,,,,,,,,,,,,,,3,
,,,,,,4,18,,74,14,1,181,,,515,
,,,,,,,9,,72,2,,117,,,274,
,,,,,,,4,,42,,,53,,,958,
,,,,,,3,54,,155,8,1,120,,,756,
,,,,,,7,85,1,343,24,2,471,,,"2,506",
,,,,,,,6,,58,3,,53,,,277,
,,,,,,,1,,28,2,,28,,,162,
,,,,,,,1,,46,1,,82,,,367,
,,,,,,,,,1,,,4,,,6,
,,,,,,,1,,75,,,79,,,316,
,,,,,,,7,,138,5,,87,,,604,
,,,,,,,,,135,4,,114,,,476,
,,,,,,,,,,,,,,,300,
,,,,,,,2,,76,3,,34,,,318,
,,,,,,,8,,164,4,,106,,,612,
,,,,,,,1,,35,1,,22,,,150,
,,,,,,,10,1,125,4,,51,,,308,
,,,,,,,37,1,881,27,,660,,,"3,896",
,,,,,,37,,,73,,,,,,110,
,,,,,,37,,,73,,,,,,110,
,,,,,,,1,,18,,,24,,,72,
,,,,,,,,,,,,,,,27,
,,,,,,,1,,13,,1,14,,,90,
,,,,,,,,,27,,,25,,,131,
,,,,,,,,,27,,,26,,,53,
,,,,,,,2,,85,,1,89,,,373,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,,
