"Summer 2009
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
2
6
3
6
1
1
1
1
1
23
3
1
1
5
13
13
1
7
3
11
5
5
10
4
5
1
4
4
13
5
8
64","Sophomore
30
28
20
9
1
3
4
5
3
8
6
9
12
5
8
151
29
1
16
6
1
53
1
93
94
6
5
44
17
72
9
10
16
8
12
14
11
16
16
12
10
134","Junior
131
166
81
26
18
16
5
23
14
61
15
11
41
11
26
645
25
6
84
22
137
143
141
105
37
50
86
562
54
14
215
122
405
51
26
55
27
97
40
69
46
99
27
32
569","Senior
89
215
83
33
24
20
17
34
28
122
38
12
73
11
41
840
44
23
146
19
232
187
37
145
34
78
104
585
2
105
27
415
212
761
50
28
76
59
144
60
138
57
119
23
17
771","PB
2
1
3
1
3
4
1
1
1
1
1
1
6","Total
251
413
190
72
49
40
26
63
45
192
59
33
126
28
75
1,662
101
30
247
48
1
427
331
284
250
71
128
190
1,254
2
165
47
682
357
1,253
115
69
158
99
259
116
222
124
248
67
67
1,544",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,32,32,9,9,,,292,
,,,,,,,,42,44,23,23,,,480,
,,,,,,,,51,51,16,16,,,257,
,,,,,,,,18,18,3,3,,,93,
,,,,,,,,16,16,40,40,,,105,
,,,,,,,,9,9,,,,,49,
,,,,,,,,10,10,13,13,,,49,
,,,,,,,,12,12,9,9,,,84,
,,,,,,,,9,9,4,4,,,58,
,,,,,,,,15,15,6,6,,,213,
,,,,,,,1,3,4,6,6,,,69,
,,,,,,,,11,11,1,1,,,45,
,,,,,,,,12,12,4,4,,,142,
,,,,,,,,32,32,13,13,,,73,
,,,,,,,1,23,24,17,17,,,116,
,,,,,,,4,295,299,164,164,,,"2,125",
,,,,,,,,25,25,7,7,,,133,
,,,,,,,,,,,,,,30,
,,,,,,,,11,11,,,,,258,
,,,,,,,,16,16,2,2,,,66,
,,,,,,,,18,18,,,,,19,
,,,,,,,,70,70,9,9,,,506,
,,,,,,,,75,75,11,11,,,417,
,,,,,,,,16,16,,,,,300,
,,,,,,,,118,118,6,6,,,374,
,,,,,,,,22,22,,,,,93,
,,,,,,,,9,9,9,9,,,146,
,,,,,,,,32,32,1,1,,,223,
,,,,,,,,272,272,27,27,,,"1,553",
,,,,,,,,,,,,,,2,
,,,,,,,4,51,55,114,114,,,334,
,,,,,,,,49,49,62,62,,,158,
,,,,,,,,33,33,28,28,,,743,
,,,,,,,5,173,178,69,69,,,604,
,,,,,,,9,306,315,273,273,,,"1,841",
,,,,,,,,40,40,23,23,,,178,
,,,,,,,,14,14,11,11,,,94,
,,,,,,,,11,11,15,15,,,184,
,,,,,,,,1,1,3,3,,,4,
,,,,,,,,13,13,23,23,,,135,
,,,,,,,,60,60,15,15,,,334,
,,,,,,,,13,13,14,14,,,143,
,,,,,,,,,,,,,,222,
,,,,,,,,15,15,5,5,,,144,
,,,,,,,,52,52,15,15,,,315,
,,,,,,,,24,24,12,12,,,103,
,,,,,,,,30,30,,,,,97,
,,,,,,,,273,273,136,136,,,"1,953",
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,
