"Summer 2009
G. Bush School       BUSH of Govt                    Subtotal
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine                 VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal Other - Special        CLMD Populations             MARA
MARB SRPH
Subtotal
University               Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
2
1
4
2
1
3
6
8
8
66
66
113","Sophomore
1
1
2
3
2
2
4
6
2
21
11
1
2
14
4
4
45
45
184","Junior
1
6
2
3
12
1
17
10
9
12
6
8
2
19
2
19
8
113
13
3
2
18
15
15
15
15
509","Senior
3
3
3
9
5
18
19
8
12
12
19
3
18
4
32
12
162
29
1
5
5
40
43
43
787","PB
3","Total
5
6
5
6
22
6
38
34
17
26
18
29
5
42
6
57
22
300
55
5
10
8
78
70
70
126
126
1,596",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,8,3,11,1,1,10,10,11,
,,,,,,,8,3,11,,,,,11,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,6,
,,,,,,,,1,1,,,,,7,
,,,,,,,,2,2,,,,,8,
,,,,,,,,3,3,1,1,,,26,
,,,,,,,,,,2,2,,,8,
,,,,,,,,,,,,,,38,
,,,,,,,,1,1,4,4,,,39,
,,,,,,,,1,1,,,,,18,
,,,,,,,,2,2,4,4,,,32,
,,,,,,,,3,3,5,5,,,26,
,,,,,,,,,,1,1,,,30,
,,,,,,,,1,1,1,1,,,7,
,,,,,,,,1,1,2,2,,,45,
,,,,,,,,,,,,,,6,
,,,,,,,,6,6,11,11,,,74,
,,,,,,,,4,4,5,5,,,31,
,,,,,,,,19,19,35,35,,,354,
,,,,,,,,3,3,2,2,,,60,
,,,,,,,,10,10,7,7,,,22,
,,,,,,,,1,1,1,1,,,12,
,,,,,,,,3,3,3,3,,,14,
,,,,,,,,3,3,,,,,3,
,,,,,,,,20,20,13,13,,,111,
,,,,,,,,,,,,,,80,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,,,2,
,,,,,,,,1,1,3,3,10,10,84,
,,,,,,,,,,,,,,126,
,,,,,,,,,,,,,,126,
,,,,,,,9,228,237,175,175,10,10,"2,018",
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,
