Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,55,44.7%,26,36.8%,55,19.6%,,,55,44.7%,
,AGBU,67,-1.5%,,,,,,,93,6.9%,
,AGCJ,70,14.8%,,,,,,,70,14.8%,
,AGEC,166,10.7%,28,-26.3%,,,,,249,6.4%,
,AGED,,,32,-23.8%,28,-17.6%,,,60,-21.1%,
,AGEN,5,-73.7%,,,,,,,5,-73.7%,
,AGLS,60,-67.2%,,,,,,,60,-67.2%,
,AGRO,33,-15.4%,13,8.3%,11,22.2%,,,57,-5.0%,
,AGSC,51,34.2%,,,,,,,51,34.2%,
,AGSM,42,-33.3%,2,100.0%,,,,,44,-30.2%,
,ALEC,,,12,100.0%,4,100.0%,,,16,100.0%,
,ALED,334,-16.7%,12,-40.0%,,,,,346,-17.8%,
,ANBR,,,3,-25.0%,1,100.0%,,,4,0.0%,
,ANSC,221,-17.5%,40,-9.1%,9,-18.2%,,,270,-16.4%,
,BAEN,46,130.0%,30,30.4%,12,-14.3%,,,88,54.4%,
,BESC,101,-1.9%,,,,,,,101,-1.9%,
,BICH,50,-10.7%,21,-30.0%,63,6.8%,,,134,-7.6%,
,BIOT,,,19,0.0%,,,,,19,0.0%,
,BIPH,,,0,-100.0%,,,,,0,-100.0%,
,BSEN,0,-100.0%,,,,,,,0,-100.0%,
,CDEV,7,75.0%,,,,,,,7,75.0%,
,DASC,5,150.0%,0,-100.0%,,,,,5,25.0%,
,ECOR,6,100.0%,,,,,,,6,100.0%,
,ENST,3,-62.5%,,,,,,,3,-62.5%,
,ENTO,39,-7.1%,17,-19.0%,23,4.5%,,,79,-7.1%,
,FISC,,,0,-100.0%,,,,,0,-100.0%,
,FIVL,7,133.3%,,,,,,,7,133.3%,
,FIVS,1,100.0%,,,,,,,1,100.0%,
,FLOR,0,-100.0%,1,100.0%,,,,,1,0.0%,
,FORS,4,-20.0%,6,20.0%,6,20.0%,,,16,6.7%,
,FSTC,40,0.0%,23,21.1%,8,-46.7%,,,71,-4.1%,
,GENE,24,-22.6%,9,0.0%,19,-9.5%,,,52,-14.8%,
,HORT,55,-22.5%,12,33.3%,14,-6.7%,,,81,-14.7%,
,MEPS,,,8,100.0%,13,-18.8%,,,21,5.0%,
,NRDV,,,11,83.3%,,,,,11,83.3%,
,NUSC,217,-4.8%,,,,,,,217,-4.8%,
,NUTR,,,20,25.0%,15,15.4%,,,35,20.7%,
,PLBR,,,18,50.0%,13,18.2%,,,31,34.8%,
,PLPA,,,14,7.7%,12,33.3%,,,26,18.2%,
,POSC,44,-25.4%,10,0.0%,10,-23.1%,,,64,-22.0%,
,PPRO,,,2,100.0%,,,,,2,100.0%,
,PREP,,,9,0.0%,8,-27.3%,,,17,-15.0%,
,PSSC,1,0.0%,,,,,,,1,0.0%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
