Summer 2009,,Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Readmitted,Continuing,,
Architecture,ARCH,5,,1,1,218,3,11,1,44,3,1,23,,,78,
,COMG,,,,,,,10,,40,,,,,,50,
,COSC,,,,,,,,,,,,,,,218,
,COSL,,,,,68,,,,,,,,,,70,
,ENDL,,,13,,69,,,,,,,,,,82,
,ENDS,,,,,51,,,,,,,,,,51,
,LAND,,,,,14,,2,,7,,,,,,23,
,LANL,,,1,,17,,,,,,,,,,18,
,LDEV,,,,,,,1,,22,,,,,,23,
,URPL,,,,,,,,,15,,,,,,15,
,URSC,,,,,26,,,,,,,13,,,39,
,USAR,,,,,43,,,,,,,,,,43,
,VISL,,,1,,,,,,,,,,,,1,
,VIZA,,,,,,,,,35,,,,,,35,
,Subtotal,,,16,1,506,,24,,163,,,36,,,746,
Business,ACCT,,,,,417,,65,,31,,,11,,,527,
Admin,AGBU,,,,,3,,,,,,,,,,3,
,BHNR,,,,,21,,,,,,,,,,21,
,BUAD,,,15,3,232,,,,35,,,,,,290,
,EMBA,,,,,,,,,1,,,,,,1,
,FINC,,,,2,308,,56,,51,,,15,,,432,
,INFO,,,,,98,,,,1,,,1,,,100,
,MGMT,,,,2,156,,4,,9,,,14,,,185,
,MISY,,,,,,,17,,35,,,,,,52,
,MKTG,,,,,226,,15,,25,,,9,,,275,
,MLER,,,,,,,,,35,,,,,,35,
,USBU,,,,,61,,,,,,,,,,61,
,Subtotal,5,,15,7,"1,522",,157,,223,3,,50,,,"1,982",
Education,BIED,,,,,,,2,,,,,,,,2,
,CPSY,,,,,,,,,,,,28,,,28,
,EDAD,,,,,,,13,,31,14,,127,,,189,
,EDCI,,,,,,3,54,,155,8,1,120,,,342,
,EDHL,,,3,4,178,,,,,,,,,,185,
,EDIS,1,,8,,127,,,,,,,,,,136,
,EDKI,5,,3,3,141,,,,,,,,,,152,
,EDSM,4,,1,1,88,,,,,,,,,,94,
,EDTC,,,,,,,3,,7,,,,,,10,
,EHRD,,,,,,1,5,,43,,,54,,,103,
,EPSY,,,,,,,2,,65,2,,47,,,116,
,HEED,,,,,,,2,,7,,,13,,,22,
,HLTH,,,,,137,,,,,,,,,,137,
,HRDL,,,1,1,64,,,,,,,,,,66,
,HRDV,,,,,109,,,,,,,,,,109,
,INST,,,,2,347,,,,,,,,,,349,
,ISNC,,,,1,14,,,,,,,,,,15,
,KINE,,,,,140,,2,,31,,,39,,,212,
,NUTR,,,,,,,,,2,,,1,,,3,
,PHED,,,,,,,,,2,,,,,,2,
,SPED,,,,,,,2,,,,,,,,2,
,SPMT,,,,1,150,,,,,,,,,,151,
,SPSY,,,,,,,,,,,,42,,,42,
,TCMG,,,,1,17,,,,,,,,,,18,
,TCML,,,,,17,,,,,,,,,,17,
,TECR,,,,,3,,,,,,,,,,3,
,USEH,,,,,1,,,,,,,,,,1,
,Subtotal,10,,16,14,"1,533",7,85,1,343,24,2,471,,,"2,506",
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,,,
