Summer 2009,,Undergraduate,,,,,Masters,,,,PhD,,,Professional,,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Readmitted,Continuing,,
"Other - Special        MARA Populations             MARB MDSC
PHLT",,,,,,"1
1",1,,,"2
1",,,,,,"1
1
2
2",
University,Subtotal Total,387,2,142,93,"2
11,638","1
62",359,2,"3
2,661",68,4,"2,338",1,141,"6
17,898",
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
