College Science,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,
Fall 2010,,SLevel2,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"2,396",100.0%,450,100.0%,434,100.0%,,,"3,280",100.0%,
,Female,"1,283",53.5%,166,36.9%,148,34.1%,,,"1,597",48.7%,
,Male,"1,113",46.5%,284,63.1%,286,65.9%,,,"1,683",51.3%,
Ethnicity,Asian Only (NEW),267,11.1%,33,7.3%,9,2.1%,,,309,9.4%,
,Black Only + 2 or more/1 Black (NEW),89,3.7%,8,1.8%,8,1.8%,,,105,3.2%,
,Hispanic or Latino of any Race (NEW),481,20.1%,28,6.2%,18,4.1%,,,527,16.1%,
,International,33,1.4%,162,36.0%,243,56.0%,,,438,13.4%,
,American Indian Only (NEW),10,.4%,,,2,.5%,,,12,.4%,
,2 or More/Excluding Black (NEW),58,2.4%,3,.7%,3,.7%,,,64,2.0%,
,Native Hawaiian Only (NEW),2,.1%,,,1,.2%,,,3,.1%,
,Unknown or Not Reported,3,.1%,4,.9%,1,.2%,,,8,.2%,
,White Only (NEW),"1,453",60.6%,212,47.1%,149,34.3%,,,"1,814",55.3%,
TAMU Age Categories,<18,13,.5%,,,,,,,13,.4%,
,18-21,"2,025",84.5%,4,.9%,,,,,"2,029",61.9%,
,22-25,325,13.6%,244,54.2%,69,15.9%,,,638,19.5%,
,26-30,23,1.0%,104,23.1%,262,60.4%,,,389,11.9%,
,31-39,10,.4%,63,14.0%,93,21.4%,,,166,5.1%,
,40+,,,35,7.8%,10,2.3%,,,45,1.4%,
Enrollment Status,1st Time in College,745,31.1%,,,,,,,745,22.7%,
,1st Time PB,,,17,3.8%,,,,,17,.5%,
,1st Time Graduate,,,151,33.6%,81,18.7%,,,232,7.1%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,79,3.3%,,,,,,,79,2.4%,
,Readmitted,8,.3%,,,,,,,8,.2%,
,Continuing,"1,564",65.3%,282,62.7%,353,81.3%,,,"2,199",67.0%,
Tuition Status,Resident Tuition,"2,223",92.8%,184,40.9%,79,18.2%,,,"2,486",75.8%,
,Non-Resident Tuition,45,1.9%,16,3.6%,20,4.6%,,,81,2.5%,
,Tuition Exemption/Waiver,128,5.3%,250,55.6%,335,77.2%,,,713,21.7%,
Residency Status,Texas Resident,"2,291",95.6%,191,42.4%,90,20.7%,,,"2,572",78.4%,
,"Non-TX, US Resident",74,3.1%,97,21.6%,100,23.0%,,,271,8.3%,
,"Non-TX, Non-US Resident",31,1.3%,162,36.0%,244,56.2%,,,437,13.3%,
SCH Categories,< 6 SCH,11,.5%,71,15.8%,17,3.9%,,,99,3.0%,
,6-8 SCH,34,1.4%,36,8.0%,1,.2%,,,71,2.2%,
,9-11 SCH,70,2.9%,339,75.3%,414,95.4%,,,823,25.1%,
,12-14 SCH,"1,213",50.6%,4,.9%,2,.5%,,,"1,219",37.2%,
,15-17 SCH,"1,022",42.7%,,,,,,,"1,022",31.2%,
,>17 SCH,46,1.9%,,,,,,,46,1.4%,
Ft/Pt:  TAMU Status,Less Than Half Time,11,.5%,63,14.0%,14,3.2%,,,88,2.7%,
,Half-Time,101,4.2%,42,9.3%,2,.5%,,,145,4.4%,
,Three-Quarter Time,1,.0%,,,,,,,1,.0%,
,Full-Time,"2,283",95.3%,345,76.7%,418,96.3%,,,"3,046",92.9%,
Top 10% Texas High School,No,"1,136",47.4%,441,98.0%,416,95.9%,,,"1,993",60.8%,
,Yes,"1,260",52.6%,9,2.0%,18,4.1%,,,"1,287",39.2%,
First Generation,No,"1,651",68.9%,244,54.2%,215,49.5%,,,"2,110",64.3%,
,Unknown,84,3.5%,67,14.9%,73,16.8%,,,224,6.8%,
,Yes,661,27.6%,139,30.9%,146,33.6%,,,946,28.8%,
