Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Business Admin,ACCT,,,6,9,,15,,7,7,1,1,,,23,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,1,,,1,,,,,,,,1,
,BUAD,2,6,4,,,12,,28,28,,,,,40,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,3,3,,,,,3,
,FINC,,,4,4,,8,,1,1,9,9,,,18,
,INFO,,,3,,,3,,,,4,4,,,7,
,MGMT,,,1,2,,3,,1,1,4,4,,,8,
,MISY,,,,,,,,98,98,,,,,98,
,MKTG,,,,1,,1,,5,5,7,7,,,13,
,MLER,,,,,,,,2,2,,,,,2,
,USBU,,,1,1,,2,,,,,,,,2,
,Subtotal,2,6,20,17,,45,,145,145,25,25,,,215,
Education,BIED,,,,,,,,2,2,,,,,2,
,CPSY,,,,,,,,,,1,1,,,1,
,EDAD,,,,,,,,1,1,,,,,1,
,EDCI,,,,,,,,21,21,31,31,,,52,
,EDHL,,,,,,,,,,,,,,,
,EDIS,,,,,,,,,,,,,,,
,EDKI,1,2,,,,3,,,,,,,,3,
,EDSM,,1,,,,1,,,,,,,,1,
,EDTC,,,,,,,,7,7,,,,,7,
,EHRD,,,,,,,,13,13,11,11,,,24,
,EPSY,,,,,,,,12,12,20,20,,,32,
,HEED,,,,,,,,,,3,3,,,3,
,HLTH,,,,,,,,,,,,,,,
,HRDL,,1,,,,1,,,,,,,,1,
,HRDV,,,,1,,1,,,,,,,,1,
,INST,,,,3,,3,,,,,,,,3,
,ISNC,,,,,,,,,,,,,,,
,KINE,,,,1,,1,,17,17,10,10,,,28,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,,
,SPMT,,,,,,,,4,4,,,,,4,
,SPSY,,,,,,,,,,3,3,,,3,
,TCMG,,,,,,,,,,,,,,,
,TCML,,,,,,,,,,,,,,,
