Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,USEH,,,,,,,,,,,,,,,
,Subtotal,12,3,13,13,,41,,5,5,10,10,,,56,
Engineering,AERL,11,1,,,,12,,,,,,,,12,
,AERO,,1,1,8,,10,,1,1,,,,,11,
,BIOT,,,,,,,,,,,,,,,
,BMEL,7,,1,,,8,,,,,,,,8,
,BMEN,,1,3,2,,6,,1,1,,,,,7,
,CECL,1,2,,,,3,,,,,,,,3,
,CECN,,,,3,,3,,,,,,,,3,
,CEEL,4,,,,,4,,,,,,,,4,
,CEEN,,,,2,,2,,,,,,,,2,
,CHEL,4,1,,,,5,,,,,,,,5,
,CHEN,,1,3,5,1,10,,1,1,,,,,11,
,CPSC,,,,1,,1,,1,1,1,1,,,3,
,CPSL,2,,1,,,3,,,,,,,,3,
,CVEL,5,1,,,,6,,,,,,,,6,
,CVEN,,3,2,2,,7,,,,1,1,,,8,
,ELEL,4,5,1,,,10,,,,,,,,10,
,ELEN,,,1,1,,2,,3,3,1,1,,,6,
,ENGR,,,,,,,,,,,,,,,
,ENSM,,,,,,,,,,,,,,,
,ENTC,,,,2,,2,,,,,,,,2,
,ENTL,,,4,,,4,,,,,,,,4,
,HLPH,,,,,,,,,,,,,,,
,IDIL,1,,,,,1,,,,,,,,1,
,IDIS,,,,5,,5,,,,,,,,5,
,INEL,2,3,,,,5,,,,,,,,5,
,INEN,,1,,4,,5,,,,,,,,5,
,ITDE,,,,,,,,,,,,,,,
,MEEL,6,1,,,,7,,,,,,,,7,
,MEEN,,1,3,2,,6,,2,2,,,,,8,
,MSEN,,,,,,,,1,1,,,,,1,
,NUEL,,,,,,,,,,,,,,,
,NUEN,,2,,1,,3,,2,2,,,,,5,
,OCEL,1,1,,,,2,,,,,,,,2,
,OCEN,,,,1,,1,,,,,,,,1,
,PETE,,,,1,,1,,,,,,,,1,
,PETL,6,1,2,1,,10,,,,,,,,10,
,RHEL,,1,,,,1,,,,,,,,1,
