Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Business Admin,ACCT,,,,,,,,,,1,1,,,1,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,,,,,,,,,,,,,
,BUAD,1,,,,,1,,2,2,,,,,3,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,2,2,,,,,2,
,FINC,,,,1,,1,,,,,,,,1,
,INFO,,,,,,,,,,,,,,,
,MGMT,,,,,,,,,,,,,,,
,MISY,,,,,,,,,,,,,,,
,MKTG,,,,,,,,,,,,,,,
,MLER,,,,,,,,,,,,,,,
,USBU,,,,,,,,,,,,,,,
,Subtotal,1,,,1,,2,,4,4,1,1,,,7,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,,,1,1,,,1,
,EDAD,,,,,,,,,,2,2,,,2,
,EDCI,,,,,,,,,,2,2,,,2,
,EDHL,,,,,,,,,,,,,,,
,EDIS,,,1,,,1,,,,,,,,1,
,EDKI,,,,,,,,,,,,,,,
,EDSM,1,,,,,1,,,,,,,,1,
,EDTC,,,,,,,,,,,,,,,
,EHRD,,,,,,,,,,1,1,,,1,
,EPSY,,,,,,,,1,1,,,,,1,
,HEED,,,,,,,,,,1,1,,,1,
,HLTH,,,,,,,,,,,,,,,
,HRDL,,,,,,,,,,,,,,,
,HRDV,,,,1,,1,,,,,,,,1,
,INST,,,,,,,,,,,,,,,
,ISNC,,,,,,,,,,,,,,,
,KINE,,,,,,,,,,,,,,,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,,,,,,,,
,SPMT,,,,,,,,,,,,,,,
,SPSY,,,,,,,,,,,,,,,
,TCMG,,,,,,,,,,,,,,,
,TCML,,,,,,,,,,,,,,,
