College Other - Special Populations,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,
Fall 2010,,SLevel2,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,64,100.0%,37,100.0%,,,,,101,100.0%,
,Female,23,35.9%,20,54.1%,,,,,43,42.6%,
,Male,41,64.1%,17,45.9%,,,,,58,57.4%,
Ethnicity,Asian Only (NEW),,,,,,,,,,,
,Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,
,Hispanic or Latino of any Race (NEW),,,1,2.7%,,,,,1,1.0%,
,International,60,93.8%,20,54.1%,,,,,80,79.2%,
,American Indian Only (NEW),,,,,,,,,,,
,2 or More/Excluding Black (NEW),,,1,2.7%,,,,,1,1.0%,
,Native Hawaiian Only (NEW),,,,,,,,,,,
,Unknown or Not Reported,2,3.1%,2,5.4%,,,,,4,4.0%,
,White Only (NEW),2,3.1%,13,35.1%,,,,,15,14.9%,
TAMU Age Categories,<18,,,,,,,,,,,
,18-21,36,56.3%,2,5.4%,,,,,38,37.6%,
,22-25,25,39.1%,26,70.3%,,,,,51,50.5%,
,26-30,3,4.7%,7,18.9%,,,,,10,9.9%,
,31-39,,,2,5.4%,,,,,2,2.0%,
,40+,,,,,,,,,,,
Enrollment Status,1st Time in College,,,,,,,,,,,
,1st Time PB,,,11,29.7%,,,,,11,10.9%,
,1st Time Graduate,,,,,,,,,,,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,64,100.0%,26,70.3%,,,,,90,89.1%,
Tuition Status,Resident Tuition,1,1.6%,13,35.1%,,,,,14,13.9%,
,Non-Resident Tuition,63,98.4%,21,56.8%,,,,,84,83.2%,
,Tuition Exemption/Waiver,,,3,8.1%,,,,,3,3.0%,
Residency Status,Texas Resident,2,3.1%,14,37.8%,,,,,16,15.8%,
,"Non-TX, US Resident",1,1.6%,3,8.1%,,,,,4,4.0%,
,"Non-TX, Non-US Resident",61,95.3%,20,54.1%,,,,,81,80.2%,
SCH Categories,< 6 SCH,,,7,18.9%,,,,,7,6.9%,
,6-8 SCH,,,8,21.6%,,,,,8,7.9%,
,9-11 SCH,,,7,18.9%,,,,,7,6.9%,
,12-14 SCH,44,68.8%,12,32.4%,,,,,56,55.4%,
,15-17 SCH,18,28.1%,3,8.1%,,,,,21,20.8%,
,>17 SCH,2,3.1%,,,,,,,2,2.0%,
Ft/Pt:  TAMU Status,Less Than Half Time,,,7,18.9%,,,,,7,6.9%,
,Half-Time,,,8,21.6%,,,,,8,7.9%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,64,100.0%,22,59.5%,,,,,86,85.1%,
Top 10% Texas High School,No,64,100.0%,37,100.0%,,,,,101,100.0%,
,Yes,,,,,,,,,,,
First Generation,No,,,,,,,,,,,
,Unknown,64,100.0%,34,91.9%,,,,,98,97.0%,
,Yes,,,3,8.1%,,,,,3,3.0%,
