College General Studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time In College Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,742,807,"1,549",40,45,85,164,209,373,35,61,96,,2,2,,5,5,8,29,37,2E1,26,49,4,6,10,"1,016","1,190","2,206",
"TAMU Age
Categories",<18,4,1,5,2,4,6,1,2,3,2,,2,,,,,,,,1,1,,,,,,,9,8,17,
,18-21,738,803,"1,541",38,41,79,163,206,369,33,61,94,,2,2,,5,5,8,28,36,2E1,26,49,4,6,10,"1,007","1,178","2,185",
,22-25,,3,3,,,,,1,1,,,,,,,,,,,,,,,,,,,,4,4,
Classification,Freshman,724,785,"1,509",40,45,85,156,200,356,33,58,91,,2,2,,5,5,7,29,36,2E1,25,47,4,6,10,986,"1,155","2,141",
,Sophomore,18,22,40,,,,8,6,14,2,3,5,,,,,,,1,,1,1,1,2,,,,30,32,62,
,Junior,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,3,3,
,Senior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,697,765,"1,462",38,38,76,155,201,356,35,59,94,,2,2,,5,5,1,,1,2E1,25,46,3,5,8,950,"1,100","2,050",
,Non-Resident Tuition,18,9,27,1,1,2,3,,3,,1,1,,,,,,,3,26,29,2,,2,,,,27,37,64,
,Tuition Exemption/Waiver,27,33,60,1,6,7,6,8,14,,1,1,,,,,,,4,3,7,,1,1,1,1,2,39,53,92,
Residency Status,Texas Resident,718,784,"1,502",39,39,78,162,209,371,35,59,94,,2,2,,5,5,1,,1,2E1,25,46,4,5,9,980,"1,128","2,108",
,"Non-TX, US Resident",24,23,47,1,6,7,2,,2,,2,2,,,,,,,,,,2,1,3,,1,1,29,33,62,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,7,29,36,,,,,,,7,29,36,
SCH Categories,< 6 SCH,252,246,498,6,5,11,39,44,83,8,8,16,,1,1,,,,2,3,5,1E1,7,17,1,,1,318,314,632,
,6-8 SCH,1,12,13,,1,1,3,3,6,,,,,,,,1,1,1,,1,,1,1,,,,5,18,23,
,9-11 SCH,4,3,7,,,,1,,1,,,,,,,,,,1,1,2,1,,1,,,,7,4,11,
,12-14 SCH,361,398,759,31,30,61,94,130,224,20,38,58,,1,1,,4,4,,19,19,1E1,14,24,2,4,6,518,638,"1,156",
,15-17 SCH,124,148,272,3,9,12,27,32,59,7,15,22,,,,,,,4,6,10,2,4,6,1,2,3,168,216,384,
,>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU Status,Less Than Half Time,252,246,498,6,5,11,39,44,83,8,8,16,,1,1,,,,2,2,4,1E1,7,17,1,,1,318,313,631,
,Half-Time,5,15,20,,1,1,4,3,7,,,,,,,,1,1,2,1,3,1,1,2,,,,12,22,34,
,Full-Time,485,546,"1,031",34,39,73,121,162,283,27,53,80,,1,1,,4,4,4,26,30,1E1,18,30,3,6,9,686,855,"1,541",
Top 10% Texas High School,No,588,702,"1,290",25,37,62,109,149,258,24,51,75,,2,2,,5,5,8,29,37,2E1,20,40,4,4,8,778,999,"1,777",
,Yes,154,105,259,15,8,23,55,60,115,11,10,21,,,,,,,,,,3,6,9,,2,2,238,191,429,
First Generation,No,580,640,"1,220",12,17,29,70,104,174,14,31,45,,1,1,,3,3,1,,1,2E1,22,39,1,1,2,695,819,"1,514",
,Unknown,13,14,27,1,4,5,5,6,11,2,3,5,,,,,,,7,29,36,,,,2,4,6,30,60,90,
,Yes,149,153,302,27,24,51,89,99,188,19,27,46,,1,1,,2,2,,,,6,4,10,1,1,2,291,311,602,
Dorm / Off-campus students,Off-campus,490,450,940,21,21,42,74,85,159,19,29,48,,1,1,,2,2,3,22,25,1E1,12,26,2,5,7,623,627,"1,250",
,Dorm (On-campus),252,357,609,19,24,43,90,124,214,16,32,48,,1,1,,3,3,5,7,12,9,14,23,2,1,3,393,563,956,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
