College Geosciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by College by Ethnicity/Gender First-Time Undergraduate Transfer Students,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,,Native Hawaii Only (New),,American Indian Only (NEW),,International,,,2 or More/Excluding Black (NEW),,,Unknown or Not Reported,,,Grand Total,,,
,,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,
Headcount Total,,12,17,29,,,,1,3,4,,,,,,,,,1,1,,,,,,,13,21,34,
TAMU Age Categories,18-21,11,11,22,,,,1,2,3,,,,,,,,,,,,,,,,,12,13,25,
,22-25,,,,,,,,1,1,,,,,,,,,1,1,,,,,,,,2,2,
,26-30,1,3,4,,,,,,,,,,,,,,,,,,,,,,,1,3,4,
,31-39,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,40+,,2,2,,,,,,,,,,,,,,,,,,,,,,,,2,2,
Classification,Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sophomore,6,8,14,,,,1,,1,,,,,,,,,,,,,,,,,7,8,15,
,Junior,6,6,12,,,,,2,2,,,,,,,,,1,1,,,,,,,6,9,15,
,Senior,,3,3,,,,,1,1,,,,,,,,,,,,,,,,,,4,4,
,PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status,Resident Tuition,12,12,24,,,,1,3,4,,,,,,,,,,,,,,,,,13,15,28,
,Non-Resident Tuition,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,
,Tuition Exemption/Waiver,,5,5,,,,,,,,,,,,,,,,,,,,,,,,5,5,
Residency Status,Texas Resident,12,16,28,,,,1,3,4,,,,,,,,,,,,,,,,,13,19,32,
,"Non-TX, US Resident",,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,
SCH Categories,< 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6-8 SCH,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,9-11 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12-14 SCH,6,11,17,,,,,2,2,,,,,,,,,1,1,,,,,,,6,14,20,
,15-17 SCH,5,5,10,,,,1,1,2,,,,,,,,,,,,,,,,,6,6,12,
,>17 SCH,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
Ft/Pt: TAMU Status,Less Than Half Time,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,Half-Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Full-Time,12,16,28,,,,1,3,4,,,,,,,,,1,1,,,,,,,13,20,33,
Top 10% Texas High School,No,10,17,27,,,,1,2,3,,,,,,,,,1,1,,,,,,,11,20,31,
,Yes,2,,2,,,,,1,1,,,,,,,,,,,,,,,,,2,1,3,
First Generation,No,6,11,17,,,,1,1,2,,,,,,,,,,,,,,,,,7,12,19,
,Unknown,,2,2,,,,,,,,,,,,,,,1,1,,,,,,,,3,3,
,Yes,6,4,10,,,,,2,2,,,,,,,,,,,,,,,,,6,6,12,
Dorm / Off-campus students,Off-campus,12,16,28,,,,1,3,4,,,,,,,,,1,1,,,,,,,13,20,33,
,Dorm (On-campus),,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
