Fall 2010  Top 10 Feeder Patterns,,,,,,,,,
New Graduate,,,,,,,,,
Texas County,,Students,,,% Total,,,,
Harris,,254,,,9.3%,,,,
Brazos,,148,,,5.4%,,,,
Dallas,,72,,,2.6%,,,,
Travis,,67,,,2.4%,,,,
Bexar,,60,,,2.2%,,,,
Tarrant,,58,,,2.1%,,,,
Fort Bend,,54,,,2.0%,,,,
Montgomery,,53,,,1.9%,,,,
Collin,,35,,,1.3%,,,,
Denton,,28,,,1.0%,,,,
State,Students,,,% Total,,,,,
Texas,1285,,,46.9%,,,,,
California,56,,,2.0%,,,,,
Florida,31,,,1.1%,,,,,
Pennsylvania,21,,,0.8%,,,,,
New York,19,,,0.7%,,,,,
Illinois,18,,,0.7%,,,,,
Missouri,18,,,0.7%,,,,,
Virginia,17,,,0.6%,,,,,
Louisiana,17,,,0.6%,,,,,
Ohio,16,,,0.6%,,,,,
Country,,,Students,,,% Total,,,
United States,,,1736,,,63.3%,,,
"China, People's Rep of",,,331,,,12.1%,,,
India,,,257,,,9.4%,,,
"Korea, Republic of",,,96,,,3.5%,,,
Iran,,,39,,,1.4%,,,
Taiwan,,,37,,,1.3%,,,
Turkey,,,34,,,1.2%,,,
Mexico,,,22,,,0.8%,,,
Thailand,,,20,,,0.7%,,,
Saudi Arabia,,,14,,,0.5%,,,
