Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Pakistan,12,21,9,,42,
Panama,9,8,6,,23,
Papua New Guinea,,1,,,1,
Paraguay,,,1,,1,
Peru,1,12,5,,18,
Philippines,,3,9,,12,
Poland,,3,2,,5,
Qatar,8,6,,,14,
Romania,1,1,1,,3,
Russia,3,4,8,,15,
Rwanda,,,1,,1,
Saudi Arabia,36,22,14,,72,
Serbia,,1,3,,4,
Singapore,5,4,5,,14,
Slovakia,,,1,,1,
Slovenia,,1,,,1,
South Africa,4,4,3,,11,
Spain,6,5,2,,13,
Sri Lanka (Ceylon),2,7,5,,14,
Sweden,3,,2,,5,
Switzerland,4,1,,,5,
Syria,2,1,1,,4,
Taiwan,5,59,158,,222,
Tanzania,1,,1,,2,
Thailand,2,24,18,,44,
Trinidad & Tobago,4,4,2,,10,
Tunisia,,,3,,3,
Turkey,2,47,59,,108,
Turkmenistan,,1,,,1,
Uganda,,1,1,,2,
Ukraine,,3,2,,5,
United Arab Emirates,19,5,4,,28,
United Kingdom,8,2,5,,15,
United States,"38,524","3,844","1,950",516,"44,834",
Uzbekistan,,1,1,,2,
Venezuela,8,11,3,,22,
Viet Nam Socialist Republic,14,16,12,,42,
Wales,,1,,,1,
Zambia,1,,,,1,
Zimbabwe (Rhodesia),,1,1,,2,
