Demographic Summary First Generation FTIC Students,,,,,,
Fall 2010,,,,,,
Fall 2010,,First Generation Undergraduates,,,Grand Total,
,,Unknown,Yes,No,,
Headcount Total,,224,"2,101","5,851","8,176",
Gender,Female,85,"1,101","2,820","4,006",
,Male,139,"1,000","3,031","4,170",
Ethnicity,White Only (NEW),73,"1,007","4,586","5,666",
,Black Only + 2 or more/1 Black (NEW),15,131,125,271,
,Hispanic or Latino of any Race (NEW),45,779,678,"1,502",
,Asian Only (NEW),13,132,269,414,
,Native Hawaii Only (New),1,2,4,7,
,American Indian Only (NEW),,5,15,20,
,International,66,1,6,73,
,2 or More/Excluding Black (NEW),2,40,153,195,
,Unknown or Not Reported,9,4,15,28,
TAMU Age Categories,<18,7,19,43,69,
,18-21,215,"2,078","5,805","8,098",
,22-25,2,4,3,9,
College,Agriculture,17,170,410,597,
,Architecture,3,58,134,195,
,Business Admin,9,149,523,681,
,Education,9,122,383,514,
,Engineering,37,348,"1,365","1,750",
,Geosciences,7,39,77,123,
,Liberal Arts,18,201,516,735,
,Science,22,234,489,745,
,Veterinary Medicine,12,178,440,630,
,General Studies,90,602,"1,514","2,206",
Enrollment Status,1st Time in College,224,"2,101","5,851","8,176",
Tuition Status,Resident Tuition,150,"1,940","5,344","7,434",
,Non-Resident Tuition,49,12,83,144,
,Tuition Exemption/Waiver,25,149,424,598,
Residency Status,Texas Resident,155,"2,064","5,606","7,825",
,"Non-TX, US Resident",4,36,240,280,
,"Non-TX, Non-US Resident",65,1,5,71,
SCH Categories,< 6 SCH,19,145,469,633,
,6-8 SCH,2,11,24,37,
,9-11 SCH,6,16,37,59,
,12-14 SCH,131,"1,300","3,432","4,863",
,15-17 SCH,66,628,"1,888","2,582",
,>17 SCH,,1,1,2,
Ft/Pt:  TAMU Status,Less Than Half Time,18,145,469,632,
,Half-Time,8,27,58,93,
,Full-Time,198,"1,929","5,324","7,451",
Top 10% Texas High School,No,142,749,"3,290","4,181",
,Yes,82,"1,352","2,561","3,995",
"Prepared by OISP, 23 Nov 10",,,,,,
