Demographic Summary Qatar Campus,,,,,,,,,
(Not included in University Total Enrollment) Fall 2010,,,,,,,,,
Fall 2010,,Student Level,,,,,,Grand Total,
,,G7,U0,U1,U2,U3,U4,,
Head Count Total,,1,57,130,87,93,105,473,
Gender,Female,,28,45,40,32,40,185,
,Male,1,29,85,47,61,65,288,
Academic Major,CHEN,,1,33,16,15,24,89,
,ELEN,,,29,23,23,25,100,
,GEST,,56,,,,,56,
,MEEN,1,,41,25,20,22,109,
,PETE,,,27,23,34,34,118,
,PETL,,,,,1,,1,
Enrollment Status,,1,15,40,85,90,103,334,
,1st Time In College,,28,89,1,,,118,
,RA,,,,,1,,1,
,SO,,13,,,,,13,
,1st Time Transfer,,1,1,1,2,2,7,
SCH Categories,< 6 SCH,1,16,,,,,17,
,6-8 SCH,,5,,,1,3,9,
,9-11 SCH,,32,5,4,1,7,49,
,12-14 SCH,,3,68,22,39,31,163,
,15-17 SCH,,1,54,56,51,55,217,
,>17 SCH,,,3,5,1,9,18,
TAMU Age Categories,<18,,4,21,3,,,28,
,18-21,,46,108,84,84,51,373,
,22-25,1,7,1,,7,50,66,
,26-30,,,,,2,4,6,
ft/pt: TAMU Status,Full-Time,,4,125,83,91,95,398,
,Half-Time,,37,5,4,2,10,58,
,Less Than Half-Time,1,16,,,,,17,
"Prepared by OISP, 23 Nov 10",,,,,,,,,
