Demographic Summary Galveston Campus,,,,,,,,,,,
(Not included in University Total Enrollment) Fall 2010,,,,,,,,,,,
Fall 2010,,Student Level,,,,,,,,Grand Total,
,,G7,G8,U0,U1,U2,U3,U4,U5,,
Head Count Total,,49,13,1,717,338,316,428,7,"1,869",
Gender,Female,31,7,1,250,136,131,175,2,733,
,Male,18,6,,467,202,185,253,5,"1,136",
Ethnicity,White Only (NEW),40,8,1,535,261,249,328,5,"1,427",
,Black Only + 2 or more/1 Black (NEW),,,,24,9,8,16,2,59,
,Hispanic or Latino of any Race (NEW),2,1,,112,54,41,53,,263,
,Asian Only (NEW),,,,11,1,5,7,,24,
,Native Hawaii Only (New),1,,,1,2,,2,,6,
,American Indian Only (NEW),1,,,3,4,3,10,,21,
,International,2,4,,4,3,2,3,,18,
,2 or More/Excluding Black (NEW),2,,,23,2,7,7,,41,
,Unknown or Not Reported,1,,,4,2,1,2,,10,
Academic Major,GACD,,,1,222,32,4,4,1,264,
,MARA,,,,54,55,67,68,2,246,
,MARB,11,7,,212,101,98,139,1,569,
,MARF,,,,6,4,1,7,,18,
,MARM,31,,,,,,,,31,
,MARR,,,,74,34,26,46,,180,
,MARS,,,,16,13,8,12,,49,
,MART,,,,50,46,40,68,3,207,
,MASE,,,,58,30,37,41,,166,
,MAST,,,,15,15,14,21,,65,
,MEEN,1,,,,,,,,1,
,OCNG,1,1,,,,,,,2,
,OCRE,,,,10,8,18,22,,58,
,RLEM,,1,,,,,,,1,
,USGA,,,,,,3,,,3,
,WFSC,5,4,,,,,,,9,
Enrollment Status,Continuing,30,11,1,105,251,279,394,7,"1,078",
,1st Time In College,,,,578,9,1,,,588,
,1st Time Graduate,19,2,,,,,,,21,
,Readmitted,,,,5,13,12,15,,45,
,1st Time Transfer,,,,29,65,24,19,,137,
SCH Categories,< 6 SCH,10,3,,,3,1,13,1,31,
,6-8 SCH,9,,1,6,11,5,28,2,62,
,9-11 SCH,29,10,,5,5,9,32,,90,
,12-14 SCH,1,,,289,178,135,181,4,788,
,15-17 SCH,,,,408,129,136,138,,811,
,>17 SCH,,,,9,12,30,36,,87,
TAMU Age Categories,<18,,,,3,,,,,3,
,18-21,,,,694,277,206,106,,"1,283",
,22-25,26,2,,10,31,85,220,2,376,
,26-30,14,7,,3,14,15,69,3,125,
,31-39,6,3,,3,13,4,20,2,51,
,40+,3,1,1,4,3,6,13,,31,
ft/pt: TAMU Status,,,,,,,,1,,1,
,Full-Time,30,10,,706,318,301,355,4,"1,724",
,Half-Time,12,,1,9,16,13,58,2,111,
,Less Than Half-Time,7,3,,1,3,1,13,1,29,
,Three Quarter Time,,,,1,1,1,1,,4,
Top 10% Texas High School,No,44,12,1,666,305,284,392,7,"1,711",
,Yes,5,1,,51,33,32,36,,158,
First Generation,No,28,9,1,472,207,184,257,3,"1,161",
,Unknown,6,2,,28,9,12,18,3,78,
,Yes,15,2,,217,122,120,153,1,630,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,
