College Agriculture,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,
Fall 2010,,SLevel2,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"5,373",100.0%,850,100.0%,552,100.0%,,,"6,775",100.0%,
,Female,"2,776",51.7%,427,50.2%,257,46.6%,,,"3,460",51.1%,
,Male,"2,597",48.3%,423,49.8%,295,53.4%,,,"3,315",48.9%,
Ethnicity,Asian Only (NEW),126,2.3%,15,1.8%,7,1.3%,,,148,2.2%,
,Black Only + 2 or more/1 Black (NEW),164,3.1%,19,2.2%,25,4.5%,,,208,3.1%,
,Hispanic or Latino of any Race (NEW),752,14.0%,75,8.8%,42,7.6%,,,869,12.8%,
,International,42,.8%,205,24.1%,227,41.1%,,,474,7.0%,
,American Indian Only (NEW),29,.5%,4,.5%,1,.2%,,,34,.5%,
,2 or More/Excluding Black (NEW),77,1.4%,6,.7%,,,,,83,1.2%,
,Native Hawaiian Only (NEW),2,.0%,,,1,.2%,,,3,.0%,
,Unknown or Not Reported,5,.1%,3,.4%,5,.9%,,,13,.2%,
,White Only (NEW),"4,176",77.7%,523,61.5%,244,44.2%,,,"4,943",73.0%,
TAMU Age Categories,<18,4,.1%,,,1,.2%,,,5,.1%,
,18-21,"3,369",62.7%,13,1.5%,,,,,"3,382",49.9%,
,22-25,"1,792",33.4%,461,54.2%,44,8.0%,,,"2,297",33.9%,
,26-30,142,2.6%,226,26.6%,239,43.3%,,,607,9.0%,
,31-39,51,.9%,109,12.8%,205,37.1%,,,365,5.4%,
,40+,15,.3%,41,4.8%,63,11.4%,,,119,1.8%,
Enrollment Status,1st Time in College,597,11.1%,,,,,,,597,8.8%,
,1st Time PB,,,21,2.5%,,,,,21,.3%,
,1st Time Graduate,,,284,33.4%,83,15.0%,,,367,5.4%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,459,8.5%,,,,,,,459,6.8%,
,Readmitted,132,2.5%,3,.4%,1,.2%,,,136,2.0%,
,Continuing,"4,185",77.9%,542,63.8%,468,84.8%,,,"5,195",76.7%,
Tuition Status,Resident Tuition,"4,974",92.6%,492,57.9%,216,39.1%,,,"5,682",83.9%,
,Non-Resident Tuition,107,2.0%,87,10.2%,54,9.8%,,,248,3.7%,
,Tuition Exemption/Waiver,292,5.4%,271,31.9%,282,51.1%,,,845,12.5%,
Residency Status,Texas Resident,"5,107",95.0%,507,59.6%,226,40.9%,,,"5,840",86.2%,
,"Non-TX, US Resident",222,4.1%,138,16.2%,100,18.1%,,,460,6.8%,
,"Non-TX, Non-US Resident",44,.8%,205,24.1%,226,40.9%,,,475,7.0%,
SCH Categories,< 6 SCH,68,1.3%,139,16.4%,93,16.8%,,,300,4.4%,
,6-8 SCH,147,2.7%,59,6.9%,21,3.8%,,,227,3.4%,
,9-11 SCH,258,4.8%,601,70.7%,428,77.5%,,,"1,287",19.0%,
,12-14 SCH,"2,841",52.9%,44,5.2%,7,1.3%,,,"2,892",42.7%,
,15-17 SCH,"1,901",35.4%,6,.7%,2,.4%,,,"1,909",28.2%,
,>17 SCH,158,2.9%,1,.1%,1,.2%,,,160,2.4%,
Ft/Pt:  TAMU Status,Less Than Half Time,58,1.1%,109,12.8%,70,12.7%,,,237,3.5%,
,Half-Time,396,7.4%,81,9.5%,39,7.1%,,,516,7.6%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,"4,919",91.6%,660,77.6%,443,80.3%,,,"6,022",88.9%,
Top 10% Texas High School,No,"3,668",68.3%,800,94.1%,528,95.7%,,,"4,996",73.7%,
,Yes,"1,705",31.7%,50,5.9%,24,4.3%,,,"1,779",26.3%,
First Generation,No,"3,539",65.9%,530,62.4%,294,53.3%,,,"4,363",64.4%,
,Unknown,162,3.0%,46,5.4%,84,15.2%,,,292,4.3%,
,Yes,"1,672",31.1%,274,32.2%,174,31.5%,,,"2,120",31.3%,
"Prepared by OISP, 11/23/2010",,,,,,,,,,,,
