Headcount by Department by Level by Entry Status Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,Undergraduate,,,,,,,Masters,,,,,,PhD,,,,,Professional,,,,,Total,,
,,,,1st Time in College,,1st Time Transfer,,Readmitted,Continuing,,1st Time PB,,1st Time Graduate,Readmitted,,Continuing,1st Time Graduate,,,Readmitted,Continuing,1st Time Professional,,Readmitted,,Continuing,,,
General Studies,,GEST,,"2,206",,141,,83,"2,755",,,,,,,,,,,,,,,,,,"5,185",,
,,Subtotal,,"2,206",,141,,83,"2,755",,,,,,,,,,,,,,,,,,"5,185",,
Other - Special Populations,,CLMD,,,,,,,,,3,,,,,3,,,,,,,,,,,6,,
,,MARB,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
,,MARS,,,,,,,,,,,,,,1,,,,,,,,,,,1,,
,,PETE,,,,,,,1,,,,,,,,,,,,,,,,,,1,,
,,SABX,,,,,,,63,,,,,,,18,,,,,,,,,,,81,,
,,SRPH,,,,,,,,,8,,,,,3,,,,,,,,,,,11,,
,,Subtotal,,,,,,,64,,11,,,,,26,,,,,,,,,,,101,,
University,,Total,,8176,,1635,,477,28860,,179,,2159,16,,3480,584,,,8,3039,133,,1,,382,49129,,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Headcount by Department by Ethnic Origin Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,,Asian Only (NEW),,Native Hawaii Only (New),,,American Indian Only (NEW),,,International,2 or More/Excluding Black (NEW),,,,Unknown or Not Reported,,Total,,,,
Agriculture,AGEC,,683,,13,,65,,,11,,,,,3,,,117,12,,,,,,904,,,,
,ALEC,,890,,71,,100,,,2,,,,,8,,,13,8,,,,1,,"1,093",,,,
,ANSC,,711,,7,,98,,,6,,1,,,5,,,13,7,,,,1,,849,,,,
,BAEN,,277,,10,,35,,,13,,,,,2,,,49,8,,,,1,,395,,,,
,BCBP,,240,,17,,49,,,48,,,,,1,,,66,9,,,,2,,432,,,,
,CLAG,,44,,9,,16,,,3,,,,,,,,2,,,,,,,74,,,,
,ENTO,,107,,10,,63,,,2,,,,,,,,15,7,,,,1,,205,,,,
,ESSM,,213,,3,,47,,,2,,,,,2,,,12,4,,,,1,,284,,,,
,HRSC,,156,,1,,26,,,1,,,,,3,,,26,1,,,,,,214,,,,
,NFSC,,432,,15,,95,,,29,,1,,,2,,,35,10,,,,,,619,,,,
,PLPM,,154,,17,,72,,,13,,1,,,2,,,17,5,,,,1,,282,,,,
,POSC,,147,,7,,33,,,3,,,,,1,,,26,3,,,,,,220,,,,
,RPTS,,307,,14,,42,,,8,,,,,1,,,27,2,,,,1,,402,,,,
,SCSC,,198,,5,,23,,,5,,,,,1,,,36,2,,,,2,,272,,,,
,WFSC,,384,,9,,105,,,2,,,,,3,,,20,5,,,,2,,530,,,,
,Subtotal,,"4,943",,208,,869,,,148,,3,,,34,,,474,83,,,,13,,"6,775",,,,
Architecture,ARCH,,325,,8,,99,,,16,,,,,3,,,71,10,,,,1,,533,,,,
,CLAR,,30,,,,12,,,,,,,,,,,1,1,,,,,,44,,,,
,COSC,,492,,8,,81,,,8,,,,,5,,,42,8,,,,1,,645,,,,
,LAUP,,202,,14,,59,,,8,,,,,2,,,97,5,,,,2,,389,,,,
,VIZA,,185,,6,,34,,,9,,,,,1,,,16,4,,,,1,,256,,,,
,Subtotal,,"1,234",,36,,285,,,41,,,,,11,,,227,28,,,,5,,"1,867",,,,
Business Admin,ACCT,,616,,23,,64,,,41,,1,,,4,,,23,6,,,,1,,779,,,,
,CLBA,,"1,608",,61,,276,,,93,,5,,,4,,,46,34,,,,5,,"2,132",,,,
,FINC,,557,,9,,59,,,43,,1,,,4,,,20,6,,,,1,,700,,,,
,INFO,,278,,23,,62,,,30,,1,,,,,,105,5,,,,,,504,,,,
,MGMT,,277,,19,,38,,,12,,1,,,1,,,8,8,,,,,,364,,,,
,MKTG,,390,,10,,51,,,18,,,,,2,,,13,5,,,,,,489,,,,
,Subtotal,,"3,726",,145,,550,,,237,,9,,,15,,,215,64,,,,7,,"4,968",,,,
Education,CLED,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,
,EAHR,,471,,82,,132,,,31,,,,,2,,,27,5,,,,4,,754,,,,
,EPSY,,338,,29,,140,,,16,,,,,1,,,46,9,,,,2,,581,,,,
,HLKN,,"1,567",,78,,281,,,46,,,,,10,,,39,22,,,,2,,"2,045",,,,
,TLAC,,"1,386",,93,,145,,,24,,1,,,6,,,54,20,,,,3,,"1,732",,,,
,Subtotal,,"3,765",,282,,698,,,117,,1,,,19,,,166,56,,,,11,,"5,115",,,,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
