Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,1,1,3,6,,11,,,,2,2,,,13,
,ALEC,1,8,23,26,1,59,2,3,5,7,7,,,71,
,ANSC,,1,1,2,,4,,2,2,1,1,,,7,
,BAEN,2,,2,3,,7,,,,3,3,,,10,
,BCBP,6,2,4,2,,14,,3,3,,,,,17,
,CLAG,,7,,2,,9,,,,,,,,9,
,ENTO,3,1,3,2,,9,,1,1,,,,,10,
,ESSM,,,,,,,,,,3,3,,,3,
,HRSC,,,,1,,1,,,,,,,,1,
,NFSC,4,3,2,5,,14,,,,1,1,,,15,
,PLPM,1,,5,10,,16,,1,1,,,,,17,
,POSC,,1,3,1,,5,,1,1,1,1,,,7,
,RPTS,,4,2,2,,8,1,1,2,4,4,,,14,
,SCSC,,,2,,,2,,2,2,1,1,,,5,
,WFSC,1,,2,2,,5,,2,2,2,2,,,9,
,Subtotal,19,28,52,64,1,164,3,16,19,25,25,,,208,
Architecture,ARCH,,1,,3,,4,,4,4,,,,,8,
,CLAR,,,,,,,,,,,,,,,
,COSC,1,3,1,3,,8,,,,,,,,8,
,LAUP,2,2,,5,,9,,2,2,3,3,,,14,
,VIZA,2,,2,2,,6,,,,,,,,6,
,Subtotal,5,6,3,13,,27,,6,6,3,3,,,36,
Business Admin,ACCT,,,10,8,,18,1,4,5,,,,,23,
,CLBA,18,19,9,5,,51,,10,10,,,,,61,
,FINC,,,1,6,,7,,2,2,,,,,9,
,INFO,,,13,8,,21,,2,2,,,,,23,
,MGMT,,1,4,10,,15,,3,3,1,1,,,19,
,MKTG,,,3,5,,8,,2,2,,,,,10,
,Subtotal,18,20,40,42,,120,1,23,24,1,1,,,145,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,2,2,6,1,11,4,19,23,48,48,,,82,
,EPSY,1,,1,3,,5,,9,9,15,15,,,29,
,HLKN,10,14,10,27,,61,,6,6,11,11,,,78,
,TLAC,5,6,4,7,,22,4,13,17,54,54,,,93,
,Subtotal,16,22,17,43,1,99,8,47,55,128,128,,,282,
Engineering,AERO,1,1,1,6,,9,,2,2,,,,,11,
,BMEN,6,4,1,3,,14,,2,2,,,,,16,
,CHEN,7,2,7,6,1,23,,2,2,1,1,,,26,
,CLEN,,,,1,,1,,,,1,1,,,2,
,CSCE,9,12,9,7,,37,,2,2,5,5,,,44,
,CVEN,6,6,6,9,,27,,3,3,,,,,30,
,ECEN,6,10,7,13,,36,,5,5,4,4,,,45,
,ETID,1,6,4,19,,30,,,,,,,,30,
,ISEN,3,4,10,12,,29,,3,3,2,2,,,34,
,MEEN,10,2,5,6,,23,,3,3,5,5,,,31,
,NUEN,2,2,1,4,,9,,3,3,1,1,,,13,
,PETE,2,,1,4,,7,,7,7,2,2,,,16,
,Subtotal,53,49,52,90,1,245,,32,32,21,21,,,298,
G. Bush School of Govt,BUSH,,,,,,,8,11,19,,,,,19,
,Subtotal,,,,,,,8,11,19,,,,,19,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
