Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,,1,3,4,,8,,2,2,1,1,,,11,
,ALEC,,,1,,,1,,,,1,1,,,2,
,ANSC,1,1,2,1,,5,,1,1,,,,,6,
,BAEN,,,4,7,,11,,,,2,2,,,13,
,BCBP,15,9,11,10,1,46,,2,2,,,,,48,
,CLAG,,,1,2,,3,,,,,,,,3,
,ENTO,2,,,,,2,,,,,,,,2,
,ESSM,,,1,,,1,,1,1,,,,,2,
,HRSC,,,,,,,,1,1,,,,,1,
,NFSC,3,1,7,13,,24,,4,4,1,1,,,29,
,PLPM,,1,5,7,,13,,,,,,,,13,
,POSC,,,,,,,,3,3,,,,,3,
,RPTS,,1,2,5,,8,,,,,,,,8,
,SCSC,,1,1,,,2,,1,1,2,2,,,5,
,WFSC,,,1,1,,2,,,,,,,,2,
,Subtotal,21,15,39,50,1,126,,15,15,7,7,,,148,
Architecture,ARCH,,3,4,1,,8,1,4,5,3,3,,,16,
,CLAR,,,,,,,,,,,,,,,
,COSC,,3,,4,,7,,1,1,,,,,8,
,LAUP,,,,5,,5,,,,3,3,,,8,
,VIZA,3,,,2,,5,,4,4,,,,,9,
,Subtotal,3,6,4,12,,25,1,9,10,6,6,,,41,
Business Admin,ACCT,,1,10,23,,34,,5,5,2,2,,,41,
,CLBA,33,30,10,5,,78,,15,15,,,,,93,
,FINC,,,9,20,,29,,13,13,1,1,,,43,
,INFO,,,11,17,,28,,2,2,,,,,30,
,MGMT,,,2,7,,9,,,,3,3,,,12,
,MKTG,,,5,10,,15,,3,3,,,,,18,
,Subtotal,33,31,47,82,,193,,38,38,6,6,,,237,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,3,1,4,11,,19,,3,3,9,9,,,31,
,EPSY,,1,,2,,3,1,2,3,10,10,,,16,
,HLKN,9,3,12,14,,38,,3,3,5,5,,,46,
,TLAC,1,2,4,11,,18,,3,3,3,3,,,24,
,Subtotal,13,7,20,38,,78,1,11,12,27,27,,,117,
Engineering,AERO,6,7,4,6,,23,,1,1,3,3,,,27,
,BMEN,15,14,7,14,,50,,6,6,2,2,,,58,
,CHEN,11,13,17,26,,67,,5,5,,,,,72,
,CLEN,,,,,,,,,,,,,,,
,CSCE,11,5,14,11,1,42,,8,8,8,8,,,58,
,CVEN,4,6,6,23,,39,,7,7,7,7,,,53,
,ECEN,20,12,29,33,,94,,12,12,7,7,,,113,
,ETID,2,,11,24,,37,,,,,,,,37,
,ISEN,5,6,11,17,,39,,5,5,1,1,,,45,
,MEEN,5,7,7,22,,41,,8,8,6,6,,,55,
,NUEN,4,2,3,8,,17,,4,4,1,1,,,22,
,PETE,9,7,8,13,,37,,12,12,1,1,,,50,
,Subtotal,92,79,117,197,1,486,,68,68,36,36,,,590,
G. Bush School of Govt,BUSH,,,,,,,,8,8,,,,,8,
,Subtotal,,,,,,,,8,8,,,,,8,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
