Ethnicity Native Hawaii Only (New),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Geosciences,ATMO,,,,,,,,,,,,,,,
,CLGE,,,1,2,,3,,,,,,,,3,
,GEOG,,,,,,,,,,,,,,,
,GEPL,,,,,,,,1,1,,,,,1,
,OCNG,,,,,,,,,,,,,,,
,Subtotal,,,1,2,,3,,1,1,,,,,4,
Liberal Arts,ANTH,,,,,,,,,,,,,,,
,CLLA,1,,1,,,2,,,,,,,,2,
,COMM,,,,2,,2,,,,,,,,2,
,ECON,,,1,2,,3,,,,,,,,3,
,ENGL,,,,1,,1,,,,,,,,1,
,EURO,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,,,,,,,,,,,,,,,
,PHUM,,,1,,,1,,,,,,,,1,
,POLS,,,,,,,,,,,,,,,
,PRFM,,,,,,,,,,,,,,,
,PSYC,,,,,,,,,,,,,,,
,SOCI,,,1,,,1,,,,,,,,1,
,Subtotal,1,,4,5,,10,,,,,,,,10,
Science,BIOL,1,,,1,,2,,,,,,,,2,
,CHEM,,,,,,,,,,,,,,,
,CLSC,,,,,,,,,,,,,,,
,MATH,,,,,,,,,,,,,,,
,PHYS,,,,,,,,,,1,1,,,1,
,STAT,,,,,,,,,,,,,,,
,Subtotal,1,,,1,,2,,,,1,1,,,3,
Veterinary Medicine,CLVM,1,2,,,,3,,,,,,,,3,
,VIBS,,,,,,,,,,,,,,,
,VLCS,,,,,,,,,,,,,,,
,VSCS,,,,,,,,,,,,,,,
,VTPB,,,,,,,,,,,,,,,
,VTPP,,,,,,,,,,,,,,,
,Subtotal,1,2,,,,3,,,,,,,,3,
General Studies,GEST,5,3,,,,8,,,,,,,,8,
,Subtotal,5,3,,,,8,,,,,,,,8,
Other - Special Populations,CLMD,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,MARS,,,,,,,,,,,,,,,
,PETE,,,,,,,,,,,,,,,
,SABX,,,,,,,,,,,,,,,
,SRPH,,,,,,,,,,,,,,,
,Subtotal,,,,,,,,,,,,,,,
University,Total,13,12,10,16,,51,1,3,4,2,2,,,57,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
