Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,2,1,3,,,6,1,57,58,53,53,,,117,
,ALEC,,2,,3,,5,1,4,5,3,3,,,13,
,ANSC,1,,1,1,,3,,4,4,6,6,,,13,
,BAEN,,,,2,,2,,29,29,18,18,,,49,
,BCBP,5,1,2,3,,11,,30,30,25,25,,,66,
,CLAG,,,1,1,,2,,,,,,,,2,
,ENTO,,,,1,,1,,3,3,11,11,,,15,
,ESSM,,,,,,,,6,6,6,6,,,12,
,HRSC,,,,2,,2,1,10,11,13,13,,,26,
,NFSC,2,,2,1,,5,,15,15,15,15,,,35,
,PLPM,,,1,,,1,,7,7,9,9,,,17,
,POSC,,1,,,,1,,16,16,9,9,,,26,
,RPTS,,,1,1,,2,,6,6,19,19,,,27,
,SCSC,,,,,,,,11,11,25,25,,,36,
,WFSC,,,,1,,1,,4,4,15,15,,,20,
,Subtotal,10,5,11,16,,42,3,202,205,227,227,,,474,
Architecture,ARCH,,,,4,,4,,36,36,31,31,,,71,
,CLAR,,,,1,,1,,,,,,,,1,
,COSC,,1,1,2,,4,,38,38,,,,,42,
,LAUP,,,,,,,1,61,62,35,35,,,97,
,VIZA,,,1,1,,2,,14,14,,,,,16,
,Subtotal,,1,2,8,,11,1,149,150,66,66,,,227,
Business Admin,ACCT,,,6,9,,15,,7,7,1,1,,,23,
,CLBA,2,6,6,1,,15,,31,31,,,,,46,
,FINC,,,4,4,,8,,3,3,9,9,,,20,
,INFO,,,3,,,3,,98,98,4,4,,,105,
,MGMT,,,1,2,,3,,1,1,4,4,,,8,
,MKTG,,,,1,,1,,5,5,7,7,,,13,
,Subtotal,2,6,20,17,,45,,145,145,25,25,,,215,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,1,,1,,2,,14,14,11,11,,,27,
,EPSY,,,,1,,1,,21,21,24,24,,,46,
,HLKN,1,3,,1,,5,,21,21,13,13,,,39,
,TLAC,,,,2,,2,,21,21,31,31,,,54,
,Subtotal,1,4,,5,,10,,77,77,79,79,,,166,
Engineering,AERO,,2,2,5,,9,,16,16,34,34,,,59,
,BMEN,,2,1,2,,5,,13,13,22,22,,,40,
,CHEN,,5,7,25,,37,,62,62,87,87,,,186,
,CLEN,,,,,,,,,,2,2,,,2,
,CSCE,2,3,13,10,,28,1,164,165,75,75,,,268,
,CVEN,1,7,8,11,,27,,151,151,112,112,,,290,
,ECEN,5,13,21,25,,64,,225,225,195,195,,,484,
,ETID,,2,3,8,,13,,,,,,,,13,
,ISEN,2,5,9,12,,28,,172,172,48,48,,,248,
,MEEN,1,2,4,12,,19,3,126,129,143,143,,,291,
,NUEN,3,1,4,5,,13,,18,18,18,18,,,49,
,PETE,,7,24,22,1,54,1,120,121,83,83,,,258,
,Subtotal,14,49,96,137,1,297,5,"1,067","1,072",819,819,,,"2,188",
G. Bush School of Govt,BUSH,,,,,,,1,14,15,,,,,15,
,Subtotal,,,,,,,1,14,15,,,,,15,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
