College Business Admin,,,,,,,,,,,,
Texas A&M University Student Enrollment Summary Student Head Count by Level by College,,,,,,,,,,,,
Fall 2010,,,,,,,,,,,,
Fall 2010,,SLevel2,,,,,,,,,,
,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,"4,155",100.0%,748,100.0%,65,100.0%,,,"4,968",100.0%,
,Female,"2,108",50.7%,304,40.6%,18,27.7%,,,"2,430",48.9%,
,Male,"2,047",49.3%,444,59.4%,47,72.3%,,,"2,538",51.1%,
Ethnicity,Asian Only (NEW),193,4.6%,38,5.1%,6,9.2%,,,237,4.8%,
,Black Only + 2 or more/1 Black (NEW),120,2.9%,24,3.2%,1,1.5%,,,145,2.9%,
,Hispanic or Latino of any Race (NEW),496,11.9%,53,7.1%,1,1.5%,,,550,11.1%,
,International,45,1.1%,145,19.4%,25,38.5%,,,215,4.3%,
,American Indian Only (NEW),12,.3%,3,.4%,,,,,15,.3%,
,2 or More/Excluding Black (NEW),55,1.3%,9,1.2%,,,,,64,1.3%,
,Native Hawaiian Only (NEW),8,.2%,1,.1%,,,,,9,.2%,
,Unknown or Not Reported,2,.0%,4,.5%,1,1.5%,,,7,.1%,
,White Only (NEW),"3,224",77.6%,471,63.0%,31,47.7%,,,"3,726",75.0%,
TAMU Age Categories,<18,4,.1%,,,,,,,4,.1%,
,18-21,"3,327",80.1%,25,3.3%,,,,,"3,352",67.5%,
,22-25,772,18.6%,451,60.3%,6,9.2%,,,"1,229",24.7%,
,26-30,28,.7%,137,18.3%,21,32.3%,,,186,3.7%,
,31-39,14,.3%,84,11.2%,32,49.2%,,,130,2.6%,
,40+,10,.2%,51,6.8%,6,9.2%,,,67,1.3%,
Enrollment Status,1st Time in College,681,16.4%,,,,,,,681,13.7%,
,1st Time PB,,,1,.1%,,,,,1,.0%,
,1st Time Graduate,,,428,57.2%,11,16.9%,,,439,8.8%,
,1st Time Professional,,,,,,,,,,,
,1st Time Transfer,61,1.5%,,,,,,,61,1.2%,
,Readmitted,16,.4%,1,.1%,,,,,17,.3%,
,Continuing,"3,397",81.8%,318,42.5%,54,83.1%,,,"3,769",75.9%,
Tuition Status,Resident Tuition,"3,979",95.8%,543,72.6%,15,23.1%,,,"4,537",91.3%,
,Non-Resident Tuition,57,1.4%,62,8.3%,1,1.5%,,,120,2.4%,
,Tuition Exemption/Waiver,119,2.9%,143,19.1%,49,75.4%,,,311,6.3%,
Residency Status,Texas Resident,"4,043",97.3%,565,75.5%,19,29.2%,,,"4,627",93.1%,
,"Non-TX, US Resident",69,1.7%,43,5.7%,21,32.3%,,,133,2.7%,
,"Non-TX, Non-US Resident",43,1.0%,140,18.7%,25,38.5%,,,208,4.2%,
SCH Categories,< 6 SCH,37,.9%,6,.8%,4,6.2%,,,47,.9%,
,6-8 SCH,53,1.3%,15,2.0%,,,,,68,1.4%,
,9-11 SCH,102,2.5%,252,33.7%,60,92.3%,,,414,8.3%,
,12-14 SCH,"2,615",62.9%,258,34.5%,1,1.5%,,,"2,874",57.9%,
,15-17 SCH,"1,288",31.0%,149,19.9%,,,,,"1,437",28.9%,
,>17 SCH,60,1.4%,68,9.1%,,,,,128,2.6%,
Ft/Pt:  TAMU Status,Less Than Half Time,28,.7%,5,.7%,3,4.6%,,,36,.7%,
,Half-Time,142,3.4%,14,1.9%,1,1.5%,,,157,3.2%,
,Three-Quarter Time,,,,,,,,,,,
,Full-Time,"3,985",95.9%,729,97.5%,61,93.8%,,,"4,775",96.1%,
Top 10% Texas High School,No,"2,048",49.3%,736,98.4%,62,95.4%,,,"2,846",57.3%,
,Yes,"2,107",50.7%,12,1.6%,3,4.6%,,,"2,122",42.7%,
First Generation,No,"3,216",77.4%,26,3.5%,9,13.8%,,,"3,251",65.4%,
,Unknown,95,2.3%,716,95.7%,54,83.1%,,,865,17.4%,
,Yes,844,20.3%,6,.8%,2,3.1%,,,852,17.1%,
