Headcount by Major by Level Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,,,,Undergraduate,,,,Masters,,,,PhD,,,,Professional,,,,Total,,,
Other - Special,,,MARB,,,,,,1,,,,,,,,,,,,1,,,
Populations,,,MARM,,,,,,1,,,,,,,,,,,,1,,,
,,,MDSC,,,,,,6,,,,,,,,,,,,6,,,
,,,PETE,,1,,,,,,,,,,,,,,,,1,,,
,,,PHLT,,,,,,11,,,,,,,,,,,,11,,,
,,,REEP,,63,,,,18,,,,,,,,,,,,81,,,
,,,Subtotal,,64,,,,37,,,,,,,,,,,,101,,,
,,,,,"39,148",,,,"5,834",,,,"3,631",,,,516,,,,"49,129",,,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,
Headcount by Major by Level by Entry Status Fall 2010,,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,,,,PhD,,,,Professional,,,,Total,,
,,1st Time in College,,1st Time Transfer,,Readmitted,Continuing,1st Time PB,,1st Time Graduate,Readmitted,Continuing,,1st Time Graduate,Readmitted,Continuing,,1st Time Professional,Readmitted,Continuing,,,,
Agriculture,ADEV,,,,,,,1,,5,,23,,,,,,,,,,29,,
,AGBL,41,,48,,,88,,,,,,,,,,,,,,,177,,
,AGBU,,,,,,135,,,10,,33,,,,,,,,,,178,,
,AGCJ,28,,27,,5,137,,,,,,,,,,,,,,,197,,
,AGEC,22,,53,,7,322,,,21,,55,,10,,59,,,,,,549,,
,AGLS,5,,11,,6,48,,,,,,,,,,,,,,,70,,
,AGRO,4,,18,,5,111,,,8,,12,,1,,12,,,,,,171,,
,AGSC,6,,13,,2,106,,,,,,,,,,,,,,,127,,
,AGSM,6,,3,,5,122,,,,,2,,,,,,,,,,138,,
,ALEC,,,,,,,4,,32,,38,,9,1,46,,,,,,130,,
,ALED,14,,47,,31,365,,,,,,,,,,,,,,,457,,
,ANBR,,,,,,,,,,,7,,2,,1,,,,,,10,,
,ANSC,134,,56,,8,529,6,,21,,39,,2,,11,,,,,,806,,
,BAEN,47,,9,,2,115,,,16,,35,,7,,21,,,,,,252,,
,BESC,9,,7,,6,205,,,,,,,,,,,,,,,227,,
,BICH,49,,4,,6,126,,,21,,26,,10,,51,,,,,,293,,
,BIOT,,,,,,,,,17,,7,,,,,,,,,,24,,
,CDEV,1,,4,,,17,,,,,,,,,,,,,,,22,,
,DASC,,,,,,2,,,,,,,,,,,,,,,2,,
,ECOR,1,,3,,,15,,,,,,,,,,,,,,,19,,
,ENST,5,,5,,2,8,,,,,,,,,,,,,,,20,,
,ENTO,3,,4,,2,58,2,,9,,12,,5,,24,,,,,,119,,
,FISC,,,,,,,,,,,3,,,,,,,,,,3,,
,FIVL,42,,3,,,18,,,,,,,,,,,,,,,63,,
,FIVS,,,,,,19,,,,,,,,,,,,,,,19,,
,FLOR,,,4,,,2,,,,,,,,,,,,,,,6,,
,FORS,1,,5,,,18,1,,4,,6,,2,,5,,,,,,42,,
,FSTC,9,,4,,5,93,,,12,1,17,,4,,11,,,,,,156,,
,GENE,32,,1,,,65,1,,13,,9,,,,22,,,,,,143,,
,HORT,3,,13,,4,146,1,,5,,15,,2,,13,,,,,,202,,
,MEPS,,,,,,,,,5,,2,,1,,14,,,,,,22,,
,NRDV,,,,,,,1,,10,,15,,,,,,,,,,26,,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,,,,,,,,,
