Headcount by Major by Ethnic Origin by Gender Fall 2010,,,,,,,,,,,,,,,,,,,,,,,
Fall 2010,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Engineering,AERL,30,197,,2,11,59,1,10,,1,,3,,,2,10,,,44,282,326,
,AERO,47,291,2,7,11,44,2,14,,,,1,6,48,3,8,,2,71,415,486,
,BIOT,1,,,,,,,,,,,,,,,,,,1,,1,
,BMEL,68,87,4,6,21,18,7,15,1,,,1,,1,3,5,,1,104,134,238,
,BMEN,65,106,1,5,14,19,11,25,,,,,14,24,3,4,,,108,183,291,
,CECL,5,88,,8,5,35,2,8,,,,1,,5,1,2,,,13,147,160,
,CECN,11,77,1,11,2,20,3,12,,,1,,15,77,,3,,,33,200,233,
,CEEL,4,47,,6,1,20,1,5,,,,,3,1,,4,,,9,83,92,
,CEEN,2,42,,2,,10,,7,,1,,,6,74,,2,,,8,138,146,
,CHEL,53,126,4,5,16,21,3,19,,1,,1,,3,3,2,,2,79,180,259,
,CHEN,106,247,4,12,24,40,18,29,1,,,1,41,85,3,8,1,,198,422,620,
,CPSC,16,168,4,8,3,25,6,16,,1,,1,35,129,,3,,2,64,353,417,
,CPSL,14,120,2,10,2,28,2,9,,,,,,7,,3,,1,20,178,198,
,CVEL,35,185,1,5,23,38,,5,,,,,2,4,3,3,,1,64,241,305,
,CVEN,141,428,3,16,30,83,12,32,,1,1,1,55,190,3,5,1,1,246,757,"1,003",
,ELEL,23,181,5,7,7,61,5,26,1,,,2,2,21,2,8,,,45,306,351,
,ELEN,33,213,4,21,6,74,6,63,,2,,1,61,316,1,5,,1,111,696,807,
,ENGR,,3,,,,,,,,,,,,2,,,,,,5,5,
,ENSM,1,8,,2,,1,,1,,,,,,2,,,,,1,14,15,
