Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Business Admin,ACCT,,,10,8,,18,1,4,5,,,,,23,
,AGBU,,,,,,,,,,,,,,,
,BHNR,,,3,3,,6,,,,,,,,6,
,BUAD,18,19,4,,,41,,3,3,,,,,44,
,BUAG,,,,,,,,,,,,,,,
,EMBA,,,,,,,,7,7,,,,,7,
,FINC,,,1,6,,7,,2,2,,,,,9,
,INFO,,,13,8,,21,,,,,,,,21,
,MGMT,,1,4,10,,15,,3,3,1,1,,,19,
,MISY,,,,,,,,2,2,,,,,2,
,MKTG,,,3,5,,8,,2,2,,,,,10,
,MLER,,,,,,,,,,,,,,,
,USBU,,,2,2,,4,,,,,,,,4,
,Subtotal,18,20,40,42,,120,1,23,24,1,1,,,145,
Education,BIED,,,,,,,,,,,,,,,
,CPSY,,,,,,,,2,2,6,6,,,8,
,EDAD,,,,,,,4,13,17,29,29,,,46,
,EDCI,,,,,,,4,13,17,54,54,,,71,
,EDHL,3,3,2,4,,12,,,,,,,,12,
,EDIS,6,6,3,1,,16,,,,,,,,16,
,EDKI,6,2,2,2,,12,,,,,,,,12,
,EDSM,1,9,4,1,,15,,,,,,,,15,
,EDTC,,,,,,,,1,1,,,,,1,
,EHRD,,,,,,,,6,6,19,19,,,25,
,EPSY,,,,,,,,4,4,4,4,,,8,
,HEED,,,,,,,,1,1,8,8,,,9,
,HLTH,,,1,9,,10,,,,,,,,10,
,HRDL,,2,2,3,,7,,,,,,,,7,
,HRDV,,,,2,1,3,,,,,,,,3,
,INST,,,2,9,,11,,,,,,,,11,
,ISNC,,,,,,,,,,,,,,,
,KINE,,,,5,,5,,3,3,3,3,,,11,
,NUTR,,,,,,,,,,,,,,,
,PHED,,,,,,,,,,,,,,,
,SPED,,,,,,,,2,2,,,,,2,
,SPMT,,,1,6,,7,,2,2,,,,,9,
,SPSY,,,,,,,,,,5,5,,,5,
,TCMG,,,,1,,1,,,,,,,,1,
,TCML,,,,,,,,,,,,,,,
