Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,PSSC,,,,1,,1,,,,,,,,1,
,RENR,2,3,3,3,,11,,,,,,,,11,
,RLEM,3,1,2,3,,9,,2,2,8,8,,,19,
,RPTS,2,6,10,19,,37,,3,3,1,1,,,41,
,RRDV,,,,,,,,,,,,,,,
,SOSC,,,,,,,,1,1,,,,,1,
,SPSA,,1,3,1,,5,,,,,,,,5,
,TOXI,,,,,,,,,,1,1,,,1,
,USAL,,,3,12,,15,,,,,,,,15,
,WFSC,6,17,24,29,,76,,15,15,10,10,,,101,
,WISC,,,,,,,,2,2,,,,,2,
,WMHS,,,,,,,,,,1,1,,,1,
,Subtotal,106,120,214,309,3,752,4,71,75,42,42,,,869,
Architecture,ARCH,,,,,,,,14,14,3,3,,,17,
,COMG,,,,,,,,4,4,,,,,4,
,COSC,,1,10,29,,40,,,,,,,,40,
,COSL,8,13,14,2,,37,,,,,,,,37,
,ENDL,22,16,7,1,,46,,,,,,,,46,
,ENDS,,,15,21,,36,,,,,,,,36,
,LAND,,1,3,8,,12,,1,1,,,,,13,
,LANL,9,6,1,,,16,,,,,,,,16,
,LDEV,,,,,,,,4,4,,,,,4,
,URPL,,,,,,,,2,2,,,,,2,
,URSC,6,4,5,7,,22,,,,2,2,,,24,
,USAR,,,3,9,,12,,,,,,,,12,
,VISL,6,7,4,,,17,,,,,,,,17,
,VIST,,,2,7,,9,,8,8,,,,,17,
,Subtotal,51,48,64,84,,247,,33,33,5,5,,,285,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
