Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity Fall 2010,,,,,,,,,,,,,,,,
Fall 2010,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,,1,1,,,2,,,,2,2,,,4,
,CLSS,,,,,,,,,,,,,,,
,COMM,,5,3,3,,11,,,,,,,,11,
,ECON,6,5,12,9,,32,1,,1,,,,,33,
,ENGL,5,,6,6,,17,,,,1,1,,,18,
,FREN,,,2,1,,3,,,,,,,,3,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,,,,,,,,
,HIST,2,1,2,3,1,9,,,,,,,,9,
,INTS,4,6,1,5,,16,,,,,,,,16,
,MODL,,,,,,,,,,,,,,,
,MUSC,1,,1,,,2,,,,,,,,2,
,NRSC,,,,,,,,1,1,,,,,1,
,NUTR,,,,,,,,,,,,,,,
,PERF,,,,,,,,,,,,,,,
,PHIL,1,,1,1,,3,,,,,,,,3,
,POLS,5,5,8,8,,26,,1,1,1,1,,,28,
,PSYC,10,12,25,15,,62,,3,3,4,4,,,69,
,RUSS,,,,,,,,,,,,,,,
,SOCI,,3,5,2,,10,,,,2,2,,,12,
,SPAN,,,1,,,1,,,,,,,,1,
,TCMS,2,1,4,2,,9,,,,,,,,9,
,THAR,,,1,1,,2,,,,,,,,2,
,USLA,,,,,,,,,,,,,,,
,WGST,,,,,,,,,,,,,,,
,Subtotal,36,39,73,56,1,205,1,5,6,10,10,,,221,
"Prepared by OISP, 23 Nov 10",,,,,,,,,,,,,,,,
